"Befolkning efter region, ålder, utbildningsnivå, kön och år"

"region","ålder","utbildningsnivå","kön","2010","2011","2012","2013","2014","2015","2016","2017"
"01 Stockholms län","16-24 år","förgymnasial utbildning kortare än 9 år","män",807,808,805,831,874,838,882,996
"01 Stockholms län","16-24 år","förgymnasial utbildning kortare än 9 år","kvinnor",887,815,769,702,677,608,650,638
"01 Stockholms län","16-24 år","förgymnasial utbildning, 9 (10) år","män",48968,48228,46618,44538,44358,43536,44105,44874
"01 Stockholms län","16-24 år","förgymnasial utbildning, 9 (10) år","kvinnor",43967,42846,41747,39833,39655,38657,39003,39751
"01 Stockholms län","16-24 år","gymnasial utbildning, högst 2 år","män",5283,5259,4803,4409,4175,4099,4204,4211
"01 Stockholms län","16-24 år","gymnasial utbildning, högst 2 år","kvinnor",4322,4366,4082,3890,3664,3662,3653,3582
"01 Stockholms län","16-24 år","gymnasial utbildning, 3 år","män",41989,43498,44795,46186,45522,44355,43014,42437
"01 Stockholms län","16-24 år","gymnasial utbildning, 3 år","kvinnor",40994,42244,43318,43861,42794,41714,40295,39545
"01 Stockholms län","16-24 år","eftergymnasial utbildning, mindre än 3 år","män",11350,12205,12922,13044,12938,12934,12605,11948
"01 Stockholms län","16-24 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",14779,15718,16342,16617,16656,16436,15785,14964
"01 Stockholms län","16-24 år","eftergymnasial utbildning, 3 år eller mer","män",3024,3178,3407,3646,3948,4148,4225,3947
"01 Stockholms län","16-24 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",4571,4878,5275,5659,6020,6062,6291,5988
"01 Stockholms län","16-24 år","forskarutbildning","män",0,4,3,2,0,1,1,1
"01 Stockholms län","16-24 år","forskarutbildning","kvinnor",3,6,3,1,2,0,0,0
"01 Stockholms län","16-24 år","uppgift om utbildningsnivå saknas","män",6851,6639,6830,6889,6935,7512,8312,9469
"01 Stockholms län","16-24 år","uppgift om utbildningsnivå saknas","kvinnor",5855,5703,5771,5840,5757,5956,6273,6577
"01 Stockholms län","25-34 år","förgymnasial utbildning kortare än 9 år","män",3271,3447,3536,3471,3497,3419,3471,3498
"01 Stockholms län","25-34 år","förgymnasial utbildning kortare än 9 år","kvinnor",3351,3539,3502,3357,3255,3108,3009,2973
"01 Stockholms län","25-34 år","förgymnasial utbildning, 9 (10) år","män",16046,16387,16321,15898,15492,15595,15556,15278
"01 Stockholms län","25-34 år","förgymnasial utbildning, 9 (10) år","kvinnor",9992,10038,10035,9664,9307,9315,9169,8909
"01 Stockholms län","25-34 år","gymnasial utbildning, högst 2 år","män",11428,11348,12247,13158,13546,13252,13470,13520
"01 Stockholms län","25-34 år","gymnasial utbildning, högst 2 år","kvinnor",9927,9955,10582,11163,11366,11254,11373,11419
"01 Stockholms län","25-34 år","gymnasial utbildning, 3 år","män",41544,42047,42013,43178,44812,46407,48175,50349
"01 Stockholms län","25-34 år","gymnasial utbildning, 3 år","kvinnor",34986,35051,34869,35227,36235,37223,38157,39558
"01 Stockholms län","25-34 år","eftergymnasial utbildning, mindre än 3 år","män",23553,25308,26740,27995,29103,30333,31553,32545
"01 Stockholms län","25-34 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",23642,25050,26524,28006,29323,30408,31661,32797
"01 Stockholms län","25-34 år","eftergymnasial utbildning, 3 år eller mer","män",45447,46822,48251,49693,50600,51303,52418,53519
"01 Stockholms län","25-34 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",60938,62957,64911,67280,69097,70872,72712,74438
"01 Stockholms län","25-34 år","forskarutbildning","män",1345,1388,1396,1383,1394,1408,1430,1395
"01 Stockholms län","25-34 år","forskarutbildning","kvinnor",1184,1189,1183,1153,1171,1183,1183,1203
"01 Stockholms län","25-34 år","uppgift om utbildningsnivå saknas","män",7961,8183,8407,8622,8889,9235,10276,11468
"01 Stockholms län","25-34 år","uppgift om utbildningsnivå saknas","kvinnor",5616,5477,5794,6049,6155,6336,6781,7726
"01 Stockholms län","35-44 år","förgymnasial utbildning kortare än 9 år","män",3413,3552,3721,3772,3868,4001,4195,4528
