region,age,edu_level,sex,year,people
01 Stockholms län,16-24 år,förgymnasial utbildning kortare än 9 år,män,2010,807
01 Stockholms län,16-24 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,887
01 Stockholms län,16-24 år,"förgymnasial utbildning, 9 (10) år",män,2010,48968
01 Stockholms län,16-24 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,43967
01 Stockholms län,16-24 år,"gymnasial utbildning, högst 2 år",män,2010,5283
01 Stockholms län,16-24 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,4322
01 Stockholms län,16-24 år,"gymnasial utbildning, 3 år",män,2010,41989
01 Stockholms län,16-24 år,"gymnasial utbildning, 3 år",kvinnor,2010,40994
01 Stockholms län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,11350
01 Stockholms län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,14779
01 Stockholms län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,3024
01 Stockholms län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,4571
01 Stockholms län,16-24 år,forskarutbildning,män,2010,0
01 Stockholms län,16-24 år,forskarutbildning,kvinnor,2010,3
01 Stockholms län,16-24 år,uppgift om utbildningsnivå saknas,män,2010,6851
01 Stockholms län,16-24 år,uppgift om utbildningsnivå saknas,kvinnor,2010,5855
01 Stockholms län,25-34 år,förgymnasial utbildning kortare än 9 år,män,2010,3271
01 Stockholms län,25-34 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,3351
01 Stockholms län,25-34 år,"förgymnasial utbildning, 9 (10) år",män,2010,16046
01 Stockholms län,25-34 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,9992
01 Stockholms län,25-34 år,"gymnasial utbildning, högst 2 år",män,2010,11428
01 Stockholms län,25-34 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,9927
01 Stockholms län,25-34 år,"gymnasial utbildning, 3 år",män,2010,41544
01 Stockholms län,25-34 år,"gymnasial utbildning, 3 år",kvinnor,2010,34986
01 Stockholms län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,23553
01 Stockholms län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,23642
01 Stockholms län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,45447
01 Stockholms län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,60938
01 Stockholms län,25-34 år,forskarutbildning,män,2010,1345
01 Stockholms län,25-34 år,forskarutbildning,kvinnor,2010,1184
01 Stockholms län,25-34 år,uppgift om utbildningsnivå saknas,män,2010,7961
01 Stockholms län,25-34 år,uppgift om utbildningsnivå saknas,kvinnor,2010,5616
01 Stockholms län,35-44 år,förgymnasial utbildning kortare än 9 år,män,2010,3413
01 Stockholms län,35-44 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,4376
01 Stockholms län,35-44 år,"förgymnasial utbildning, 9 (10) år",män,2010,13382
01 Stockholms län,35-44 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,9142
01 Stockholms län,35-44 år,"gymnasial utbildning, högst 2 år",män,2010,37317
01 Stockholms län,35-44 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,28709
01 Stockholms län,35-44 år,"gymnasial utbildning, 3 år",män,2010,26398
01 Stockholms län,35-44 år,"gymnasial utbildning, 3 år",kvinnor,2010,29777
01 Stockholms län,35-44 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,26747
01 Stockholms län,35-44 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,23842
01 Stockholms län,35-44 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,44946
01 Stockholms län,35-44 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,55452
01 Stockholms län,35-44 år,forskarutbildning,män,2010,3563
01 Stockholms län,35-44 år,forskarutbildning,kvinnor,2010,2721
01 Stockholms län,35-44 år,uppgift om utbildningsnivå saknas,män,2010,4195
01 Stockholms län,35-44 år,uppgift om utbildningsnivå saknas,kvinnor,2010,2407
01 Stockholms län,45-54 år,förgymnasial utbildning kortare än 9 år,män,2010,3702
01 Stockholms län,45-54 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,4645
01 Stockholms län,45-54 år,"förgymnasial utbildning, 9 (10) år",män,2010,17326
01 Stockholms län,45-54 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,10936
01 Stockholms län,45-54 år,"gymnasial utbildning, högst 2 år",män,2010,39876
01 Stockholms län,45-54 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,36116
01 Stockholms län,45-54 år,"gymnasial utbildning, 3 år",män,2010,18674
01 Stockholms län,45-54 år,"gymnasial utbildning, 3 år",kvinnor,2010,20146
01 Stockholms län,45-54 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,23169
01 Stockholms län,45-54 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,24502
01 Stockholms län,45-54 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,30285
01 Stockholms län,45-54 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,34667
01 Stockholms län,45-54 år,forskarutbildning,män,2010,3142
01 Stockholms län,45-54 år,forskarutbildning,kvinnor,2010,2007
01 Stockholms län,45-54 år,uppgift om utbildningsnivå saknas,män,2010,1999
01 Stockholms län,45-54 år,uppgift om utbildningsnivå saknas,kvinnor,2010,1431
01 Stockholms län,55-64 år,förgymnasial utbildning kortare än 9 år,män,2010,7051
01 Stockholms län,55-64 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,6296
01 Stockholms län,55-64 år,"förgymnasial utbildning, 9 (10) år",män,2010,14953
01 Stockholms län,55-64 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,12022
01 Stockholms län,55-64 år,"gymnasial utbildning, högst 2 år",män,2010,26493
01 Stockholms län,55-64 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,33582
01 Stockholms län,55-64 år,"gymnasial utbildning, 3 år",män,2010,19213
01 Stockholms län,55-64 år,"gymnasial utbildning, 3 år",kvinnor,2010,14053
01 Stockholms län,55-64 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,15979
01 Stockholms län,55-64 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,20559
01 Stockholms län,55-64 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,25256
01 Stockholms län,55-64 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,27674
01 Stockholms län,55-64 år,forskarutbildning,män,2010,2806
01 Stockholms län,55-64 år,forskarutbildning,kvinnor,2010,1429
01 Stockholms län,55-64 år,uppgift om utbildningsnivå saknas,män,2010,1255
01 Stockholms län,55-64 år,uppgift om utbildningsnivå saknas,kvinnor,2010,1148
01 Stockholms län,65-74 år,förgymnasial utbildning kortare än 9 år,män,2010,14269
01 Stockholms län,65-74 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,12748
01 Stockholms län,65-74 år,"förgymnasial utbildning, 9 (10) år",män,2010,5925
01 Stockholms län,65-74 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,8387
01 Stockholms län,65-74 år,"gymnasial utbildning, högst 2 år",män,2010,15999
01 Stockholms län,65-74 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,27363
01 Stockholms län,65-74 år,"gymnasial utbildning, 3 år",män,2010,17318
01 Stockholms län,65-74 år,"gymnasial utbildning, 3 år",kvinnor,2010,8154
01 Stockholms län,65-74 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,8404
01 Stockholms län,65-74 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,12340
01 Stockholms län,65-74 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,16754
01 Stockholms län,65-74 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,17800
