concept,concept_type
andel_med_examen,measure
andel_med_gr_behorighet,measure
andel_med_studiebevis,measure
andel_med_utokat_prog,measure
andel_minst_e_eng5,measure
andel_minst_e_gyarb,measure
andel_minst_e_hist1,measure
andel_minst_e_idr1,measure
andel_minst_e_ma1,measure
andel_minst_e_na1,measure
andel_minst_e_re1,measure
andel_minst_e_sam1,measure
andel_minst_e_sv1,measure
andel_minst_e_sva1,measure
antal_elever,measure
gbp,measure
gbp_examen,measure
program,entity_domain
skolkod,entity_domain
andel_a,measure
andel_b,measure
andel_c,measure
andel_d,measure
andel_e,measure
andel_f,measure
gnm_betp,measure
provnamn,entity_domain
skol_kod,entity_domain
