program,provnamn,skol_kod,andel_c
fordons- och transportprogrammet,engelska 5,17474377,..
hantverksprogrammet,engelska 5,17474377,.
bygg- och anläggningsprogrammet,engelska 5,18345915,"35,7"
el- och energiprogrammet,engelska 5,18345915,"45,5"
vård- och omsorgsprogrammet,engelska 5,68229719,..
handels- och administrationsprogrammet,engelska 5,61004230,..
vård- och omsorgsprogrammet,engelska 5,67768292,..
fordons- och transportprogrammet,engelska 5,55795961,..
barn- och fritidsprogrammet,engelska 5,84947634,.
fordons- och transportprogrammet,engelska 5,84947634,..
vård- och omsorgsprogrammet,engelska 5,84947634,..
el- och energiprogrammet,engelska 5,82840198,"37,5"
vård- och omsorgsprogrammet,engelska 5,82840198,..
bygg- och anläggningsprogrammet,engelska 5,18208087,..
fordons- och transportprogrammet,engelska 5,18208087,..
industritekniska programmet,engelska 5,18208087,.
barn- och fritidsprogrammet,engelska 5,89982804,"19,2"
handels- och administrationsprogrammet,engelska 5,89982804,..
industritekniska programmet,engelska 5,19464342,..
restaurang- och livsmedelsprogrammet,engelska 5,19464342,..
vård- och omsorgsprogrammet,engelska 5,19464342,..
barn- och fritidsprogrammet,engelska 5,60743463,.
vård- och omsorgsprogrammet,engelska 5,32960825,..
restaurang- och livsmedelsprogrammet,engelska 5,43609520,..
bygg- och anläggningsprogrammet,engelska 5,41416934,"28,6"
el- och energiprogrammet,engelska 5,41416934,..
fordons- och transportprogrammet,engelska 5,41416934,"21,7"
bygg- och anläggningsprogrammet,engelska 5,21567982,..
naturbruksprogrammet,engelska 5,21567982,..
naturbruksprogrammet,engelska 5,49379603,..
naturbruksprogrammet,engelska 5,80167319,..
vård- och omsorgsprogrammet,engelska 5,42218661,..
barn- och fritidsprogrammet,engelska 5,73171934,.
barn- och fritidsprogrammet,engelska 5,83474173,..
bygg- och anläggningsprogrammet,engelska 5,83474173,..
fordons- och transportprogrammet,engelska 5,83474173,"41,7"
industritekniska programmet,engelska 5,83474173,..
restaurang- och livsmedelsprogrammet,engelska 5,83474173,..
vård- och omsorgsprogrammet,engelska 5,83474173,..
el- och energiprogrammet,engelska 5,21866405,..
fordons- och transportprogrammet,engelska 5,21866405,..
barn- och fritidsprogrammet,engelska 5,74434644,..
handels- och administrationsprogrammet,engelska 5,74434644,"26,9"
vård- och omsorgsprogrammet,engelska 5,74434644,..
el- och energiprogrammet,engelska 5,42022406,"47,4"
bygg- och anläggningsprogrammet,engelska 5,88445871,"27,6"
industritekniska programmet,engelska 5,88445871,..
vvs- och fastighetsprogrammet,engelska 5,88445871,"31,3"
handels- och administrationsprogrammet,engelska 5,18425335,"23,7"
hantverksprogrammet,engelska 5,18425335,"14,7"
barn- och fritidsprogrammet,engelska 5,93281974,"28,6"
vård- och omsorgsprogrammet,engelska 5,93281974,..
barn- och fritidsprogrammet,engelska 5,23424275,..
handels- och administrationsprogrammet,engelska 5,23424275,..
hantverksprogrammet,engelska 5,23424275,..
restaurang- och livsmedelsprogrammet,engelska 5,23424275,..
vård- och omsorgsprogrammet,engelska 5,23424275,..
hantverksprogrammet,engelska 5,19150273,..
bygg- och anläggningsprogrammet,engelska 5,25624692,..
el- och energiprogrammet,engelska 5,25624692,..
fordons- och transportprogrammet,engelska 5,25624692,..
restaurang- och livsmedelsprogrammet,engelska 5,25624692,..
naturbruksprogrammet,engelska 5,88534520,..
fordons- och transportprogrammet,engelska 5,25356960,"27,8"
el- och energiprogrammet,engelska 5,64284020,"35,8"
hantverksprogrammet,engelska 5,64284020,..
industritekniska programmet,engelska 5,64284020,..
bygg- och anläggningsprogrammet,engelska 5,98132436,"29,2"
hantverksprogrammet,engelska 5,98132436,..
industritekniska programmet,engelska 5,98132436,..
vvs- och fastighetsprogrammet,engelska 5,98132436,"35,0"
barn- och fritidsprogrammet,engelska 5,60096875,"31,3"
vård- och omsorgsprogrammet,engelska 5,26334561,..
el- och energiprogrammet,engelska 5,40386043,"32,1"
fordons- och transportprogrammet,engelska 5,40386043,.
restaurang- och livsmedelsprogrammet,engelska 5,40386043,..
bygg- och anläggningsprogrammet,engelska 5,29324709,..
bygg- och anläggningsprogrammet,engelska 5,26864271,..
industritekniska programmet,engelska 5,59483268,.
vvs- och fastighetsprogrammet,engelska 5,59483268,..
vård- och omsorgsprogrammet,engelska 5,59483268,"42,9"
barn- och fritidsprogrammet,engelska 5,33685428,..
restaurang- och livsmedelsprogrammet,engelska 5,33685428,"62,5"
marinteknikutbildningen,engelska 5,82814120,"26,3"
barn- och fritidsprogrammet,engelska 5,10924758,.
el- och energiprogrammet,engelska 5,88259298,..
industritekniska programmet,engelska 5,88259298,..
vård- och omsorgsprogrammet,engelska 5,73098153,..
bygg- och anläggningsprogrammet,engelska 5,44240250,"42,9"
fordons- och transportprogrammet,engelska 5,44240250,"31,0"
naturbruksprogrammet,engelska 5,44240250,..
industritekniska programmet,engelska 5,17846181,.
vård- och omsorgsprogrammet,engelska 5,17846181,..
barn- och fritidsprogrammet,engelska 5,75082798,..
bygg- och anläggningsprogrammet,engelska 5,75082798,"25,0"
fordons- och transportprogrammet,engelska 5,75082798,"40,0"
vård- och omsorgsprogrammet,engelska 5,75082798,..
el- och energiprogrammet,engelska 5,23555409,..
hantverksprogrammet,engelska 5,23555409,.
bygg- och anläggningsprogrammet,engelska 5,91333138,..
fordons- och transportprogrammet,engelska 5,91333138,"29,2"
el- och energiprogrammet,engelska 5,30341162,..
naturbruksprogrammet,engelska 5,39936461,"31,7"
el- och energiprogrammet,engelska 5,72266906,"43,8"
bygg- och anläggningsprogrammet,engelska 5,12154972,"25,5"
fordons- och transportprogrammet,engelska 5,12154972,"16,7"
vvs- och fastighetsprogrammet,engelska 5,12154972,..
barn- och fritidsprogrammet,engelska 5,16950252,..
