program,provnamn,skol_kod,andel_e
Fordons- och transportprogrammet,Engelska 5,17474377,..
Hantverksprogrammet,Engelska 5,17474377,..
Bygg- och anläggningsprogrammet,Engelska 5,18345915,..
El- och energiprogrammet,Engelska 5,18345915,..
Vård- och omsorgsprogrammet,Engelska 5,68229719,"42,9"
Handels- och administrationsprogrammet,Engelska 5,61004230,..
Vård- och omsorgsprogrammet,Engelska 5,67768292,..
Fordons- och transportprogrammet,Engelska 5,55795961,..
Barn- och fritidsprogrammet,Engelska 5,84947634,..
Fordons- och transportprogrammet,Engelska 5,84947634,"33,3"
Vård- och omsorgsprogrammet,Engelska 5,84947634,..
El- och energiprogrammet,Engelska 5,82840198,..
Vård- och omsorgsprogrammet,Engelska 5,82840198,..
Bygg- och anläggningsprogrammet,Engelska 5,18208087,..
Fordons- och transportprogrammet,Engelska 5,18208087,..
Industritekniska programmet,Engelska 5,18208087,..
Barn- och fritidsprogrammet,Engelska 5,89982804,"34,6"
Handels- och administrationsprogrammet,Engelska 5,89982804,..
Industritekniska programmet,Engelska 5,19464342,..
Restaurang- och livsmedelsprogrammet,Engelska 5,19464342,..
Vård- och omsorgsprogrammet,Engelska 5,19464342,..
Barn- och fritidsprogrammet,Engelska 5,60743463,"100,0"
Vård- och omsorgsprogrammet,Engelska 5,32960825,"43,8"
Restaurang- och livsmedelsprogrammet,Engelska 5,43609520,..
Bygg- och anläggningsprogrammet,Engelska 5,41416934,..
El- och energiprogrammet,Engelska 5,41416934,..
Fordons- och transportprogrammet,Engelska 5,41416934,"52,2"
Bygg- och anläggningsprogrammet,Engelska 5,21567982,..
Naturbruksprogrammet,Engelska 5,21567982,..
Naturbruksprogrammet,Engelska 5,49379603,..
Naturbruksprogrammet,Engelska 5,80167319,..
Vård- och omsorgsprogrammet,Engelska 5,42218661,..
Barn- och fritidsprogrammet,Engelska 5,73171934,..
Barn- och fritidsprogrammet,Engelska 5,83474173,..
Bygg- och anläggningsprogrammet,Engelska 5,83474173,"43,8"
Fordons- och transportprogrammet,Engelska 5,83474173,..
Industritekniska programmet,Engelska 5,83474173,"55,6"
Restaurang- och livsmedelsprogrammet,Engelska 5,83474173,.
Vård- och omsorgsprogrammet,Engelska 5,83474173,"40,0"
El- och energiprogrammet,Engelska 5,21866405,.
Fordons- och transportprogrammet,Engelska 5,21866405,"33,3"
Barn- och fritidsprogrammet,Engelska 5,74434644,"38,5"
Handels- och administrationsprogrammet,Engelska 5,74434644,"42,3"
Vård- och omsorgsprogrammet,Engelska 5,74434644,..
El- och energiprogrammet,Engelska 5,42022406,..
Bygg- och anläggningsprogrammet,Engelska 5,88445871,"48,3"
Industritekniska programmet,Engelska 5,88445871,..
VVS- och fastighetsprogrammet,Engelska 5,88445871,..
Handels- och administrationsprogrammet,Engelska 5,18425335,"42,1"
Hantverksprogrammet,Engelska 5,18425335,"32,4"
Barn- och fritidsprogrammet,Engelska 5,93281974,"28,6"
Vård- och omsorgsprogrammet,Engelska 5,93281974,"39,4"
Barn- och fritidsprogrammet,Engelska 5,23424275,..
Handels- och administrationsprogrammet,Engelska 5,23424275,..
Hantverksprogrammet,Engelska 5,23424275,..
Restaurang- och livsmedelsprogrammet,Engelska 5,23424275,"35,0"
Vård- och omsorgsprogrammet,Engelska 5,23424275,..
Hantverksprogrammet,Engelska 5,19150273,"40,0"
Bygg- och anläggningsprogrammet,Engelska 5,25624692,..
El- och energiprogrammet,Engelska 5,25624692,..
Fordons- och transportprogrammet,Engelska 5,25624692,..
Restaurang- och livsmedelsprogrammet,Engelska 5,25624692,..
Naturbruksprogrammet,Engelska 5,88534520,"16,7"
Fordons- och transportprogrammet,Engelska 5,25356960,"42,6"
El- och energiprogrammet,Engelska 5,64284020,"22,6"
Hantverksprogrammet,Engelska 5,64284020,..
Industritekniska programmet,Engelska 5,64284020,.
Bygg- och anläggningsprogrammet,Engelska 5,98132436,"29,2"
Hantverksprogrammet,Engelska 5,98132436,..
Industritekniska programmet,Engelska 5,98132436,..
VVS- och fastighetsprogrammet,Engelska 5,98132436,..
Barn- och fritidsprogrammet,Engelska 5,60096875,"37,5"
Vård- och omsorgsprogrammet,Engelska 5,26334561,"43,5"
El- och energiprogrammet,Engelska 5,40386043,"28,6"
Fordons- och transportprogrammet,Engelska 5,40386043,..
Restaurang- och livsmedelsprogrammet,Engelska 5,40386043,..
Bygg- och anläggningsprogrammet,Engelska 5,29324709,..
Bygg- och anläggningsprogrammet,Engelska 5,26864271,"41,2"
Industritekniska programmet,Engelska 5,59483268,..
VVS- och fastighetsprogrammet,Engelska 5,59483268,..
Vård- och omsorgsprogrammet,Engelska 5,59483268,..
Barn- och fritidsprogrammet,Engelska 5,33685428,..
Restaurang- och livsmedelsprogrammet,Engelska 5,33685428,.
Marinteknikutbildningen,Engelska 5,82814120,"47,4"
Barn- och fritidsprogrammet,Engelska 5,10924758,..
El- och energiprogrammet,Engelska 5,88259298,..
Industritekniska programmet,Engelska 5,88259298,..
Vård- och omsorgsprogrammet,Engelska 5,73098153,"42,1"
Bygg- och anläggningsprogrammet,Engelska 5,44240250,..
Fordons- och transportprogrammet,Engelska 5,44240250,"33,3"
Naturbruksprogrammet,Engelska 5,44240250,..
Industritekniska programmet,Engelska 5,17846181,"54,5"
Vård- och omsorgsprogrammet,Engelska 5,17846181,..
Barn- och fritidsprogrammet,Engelska 5,75082798,..
Bygg- och anläggningsprogrammet,Engelska 5,75082798,"32,1"
Fordons- och transportprogrammet,Engelska 5,75082798,..
Vård- och omsorgsprogrammet,Engelska 5,75082798,..
El- och energiprogrammet,Engelska 5,23555409,"27,8"
Hantverksprogrammet,Engelska 5,23555409,"41,7"
Bygg- och anläggningsprogrammet,Engelska 5,91333138,"38,5"
