program,provnamn,skol_kod,andel_f
Fordons- och transportprogrammet,Engelska 5,17474377,..
Hantverksprogrammet,Engelska 5,17474377,.
Bygg- och anläggningsprogrammet,Engelska 5,18345915,.
El- och energiprogrammet,Engelska 5,18345915,..
Vård- och omsorgsprogrammet,Engelska 5,68229719,.
Handels- och administrationsprogrammet,Engelska 5,61004230,..
Vård- och omsorgsprogrammet,Engelska 5,67768292,..
Fordons- och transportprogrammet,Engelska 5,55795961,.
Barn- och fritidsprogrammet,Engelska 5,84947634,..
Fordons- och transportprogrammet,Engelska 5,84947634,..
Vård- och omsorgsprogrammet,Engelska 5,84947634,.
El- och energiprogrammet,Engelska 5,82840198,..
Vård- och omsorgsprogrammet,Engelska 5,82840198,..
Bygg- och anläggningsprogrammet,Engelska 5,18208087,.
Fordons- och transportprogrammet,Engelska 5,18208087,..
Industritekniska programmet,Engelska 5,18208087,..
Barn- och fritidsprogrammet,Engelska 5,89982804,..
Handels- och administrationsprogrammet,Engelska 5,89982804,.
Industritekniska programmet,Engelska 5,19464342,..
Restaurang- och livsmedelsprogrammet,Engelska 5,19464342,..
Vård- och omsorgsprogrammet,Engelska 5,19464342,..
Barn- och fritidsprogrammet,Engelska 5,60743463,.
Vård- och omsorgsprogrammet,Engelska 5,32960825,..
Restaurang- och livsmedelsprogrammet,Engelska 5,43609520,.
Bygg- och anläggningsprogrammet,Engelska 5,41416934,.
El- och energiprogrammet,Engelska 5,41416934,.
Fordons- och transportprogrammet,Engelska 5,41416934,..
Bygg- och anläggningsprogrammet,Engelska 5,21567982,..
Naturbruksprogrammet,Engelska 5,21567982,..
Naturbruksprogrammet,Engelska 5,49379603,.
Naturbruksprogrammet,Engelska 5,80167319,..
Vård- och omsorgsprogrammet,Engelska 5,42218661,..
Barn- och fritidsprogrammet,Engelska 5,73171934,..
Barn- och fritidsprogrammet,Engelska 5,83474173,..
Bygg- och anläggningsprogrammet,Engelska 5,83474173,..
Fordons- och transportprogrammet,Engelska 5,83474173,.
Industritekniska programmet,Engelska 5,83474173,.
Restaurang- och livsmedelsprogrammet,Engelska 5,83474173,.
Vård- och omsorgsprogrammet,Engelska 5,83474173,..
El- och energiprogrammet,Engelska 5,21866405,..
Fordons- och transportprogrammet,Engelska 5,21866405,"29,2"
Barn- och fritidsprogrammet,Engelska 5,74434644,"38,5"
Handels- och administrationsprogrammet,Engelska 5,74434644,..
Vård- och omsorgsprogrammet,Engelska 5,74434644,"37,5"
El- och energiprogrammet,Engelska 5,42022406,.
Bygg- och anläggningsprogrammet,Engelska 5,88445871,..
Industritekniska programmet,Engelska 5,88445871,.
VVS- och fastighetsprogrammet,Engelska 5,88445871,..
Handels- och administrationsprogrammet,Engelska 5,18425335,..
Hantverksprogrammet,Engelska 5,18425335,..
Barn- och fritidsprogrammet,Engelska 5,93281974,..
Vård- och omsorgsprogrammet,Engelska 5,93281974,"18,2"
Barn- och fritidsprogrammet,Engelska 5,23424275,.
Handels- och administrationsprogrammet,Engelska 5,23424275,..
Hantverksprogrammet,Engelska 5,23424275,..
Restaurang- och livsmedelsprogrammet,Engelska 5,23424275,.
Vård- och omsorgsprogrammet,Engelska 5,23424275,..
Hantverksprogrammet,Engelska 5,19150273,.
Bygg- och anläggningsprogrammet,Engelska 5,25624692,..
El- och energiprogrammet,Engelska 5,25624692,..
Fordons- och transportprogrammet,Engelska 5,25624692,..
Restaurang- och livsmedelsprogrammet,Engelska 5,25624692,..
Naturbruksprogrammet,Engelska 5,88534520,..
Fordons- och transportprogrammet,Engelska 5,25356960,..
El- och energiprogrammet,Engelska 5,64284020,..
Hantverksprogrammet,Engelska 5,64284020,.
Industritekniska programmet,Engelska 5,64284020,.
Bygg- och anläggningsprogrammet,Engelska 5,98132436,..
Hantverksprogrammet,Engelska 5,98132436,..
Industritekniska programmet,Engelska 5,98132436,.
VVS- och fastighetsprogrammet,Engelska 5,98132436,..
Barn- och fritidsprogrammet,Engelska 5,60096875,..
Vård- och omsorgsprogrammet,Engelska 5,26334561,..
El- och energiprogrammet,Engelska 5,40386043,..
Fordons- och transportprogrammet,Engelska 5,40386043,..
Restaurang- och livsmedelsprogrammet,Engelska 5,40386043,..
Bygg- och anläggningsprogrammet,Engelska 5,29324709,..
Bygg- och anläggningsprogrammet,Engelska 5,26864271,..
Industritekniska programmet,Engelska 5,59483268,..
VVS- och fastighetsprogrammet,Engelska 5,59483268,..
Vård- och omsorgsprogrammet,Engelska 5,59483268,..
Barn- och fritidsprogrammet,Engelska 5,33685428,..
Restaurang- och livsmedelsprogrammet,Engelska 5,33685428,.
Marinteknikutbildningen,Engelska 5,82814120,..
Barn- och fritidsprogrammet,Engelska 5,10924758,..
El- och energiprogrammet,Engelska 5,88259298,..
Industritekniska programmet,Engelska 5,88259298,..
Vård- och omsorgsprogrammet,Engelska 5,73098153,..
Bygg- och anläggningsprogrammet,Engelska 5,44240250,.
Fordons- och transportprogrammet,Engelska 5,44240250,..
Naturbruksprogrammet,Engelska 5,44240250,..
Industritekniska programmet,Engelska 5,17846181,.
Vård- och omsorgsprogrammet,Engelska 5,17846181,..
Barn- och fritidsprogrammet,Engelska 5,75082798,..
Bygg- och anläggningsprogrammet,Engelska 5,75082798,..
Fordons- och transportprogrammet,Engelska 5,75082798,..
Vård- och omsorgsprogrammet,Engelska 5,75082798,..
El- och energiprogrammet,Engelska 5,23555409,.
Hantverksprogrammet,Engelska 5,23555409,..
Bygg- och anläggningsprogrammet,Engelska 5,91333138,..
Fordons- och transportprogrammet,Engelska 5,91333138,..
El- och energiprogrammet,Engelska 5,30341162,.
Naturbruksprogrammet,Engelska 5,39936461,.
El- och energiprogrammet,Engelska 5,72266906,.
Bygg- och anläggningsprogrammet,Engelska 5,12154972,..
