program,skolkod,andel_med_examen
nationella program,93221031,"75,0"
nationella program,17474377,"94,4"
nationella program,74776778,"96,4"
nationella program,18345915,"96,6"
nationella program,68229719,"98,6"
nationella program,61004230,"90,0"
nationella program,71262305,"95,3"
nationella program,55795961,"100,0"
nationella program,84947634,"89,6"
nationella program,23517336,"100,0"
nationella program,48009865,"89,6"
nationella program,97870412,"100,0"
nationella program,68564903,"98,2"
nationella program,82840198,"98,6"
nationella program,18208087,"91,8"
nationella program,89982804,"100,0"
nationella program,19464342,"100,0"
nationella program,60743463,"100,0"
nationella program,32960825,"93,2"
nationella program,43609520,"90,9"
nationella program,41416934,"100,0"
nationella program,97968599,"94,1"
nationella program,21567982,"86,7"
nationella program,91748148,"88,5"
nationella program,49379603,..
nationella program,80167319,..
nationella program,42218661,"84,8"
nationella program,73171934,..
nationella program,83474173,"84,8"
nationella program,91487291,..
nationella program,21866405,"89,7"
nationella program,74434644,"86,0"
nationella program,42022406,"91,4"
nationella program,88445871,"91,3"
nationella program,65192707,"95,7"
nationella program,18425335,"86,9"
nationella program,93281974,"88,9"
nationella program,23424275,"95,0"
nationella program,43634528,"96,2"
nationella program,36263479,"95,4"
nationella program,56679384,"97,4"
nationella program,30538202,"89,3"
nationella program,19150273,"96,7"
nationella program,69018222,"77,6"
nationella program,25624692,"100,0"
nationella program,88534520,"96,9"
nationella program,12889940,"92,6"
nationella program,16554575,"96,3"
nationella program,34076477,"88,6"
nationella program,54896448,"100,0"
nationella program,25356960,"97,3"
nationella program,64284020,"91,5"
nationella program,98132436,"90,9"
nationella program,53400472,"65,0"
nationella program,60096875,"80,8"
nationella program,97758137,"71,7"
nationella program,26334561,"89,3"
nationella program,40386043,"86,5"
nationella program,29324709,"100,0"
nationella program,26864271,"64,7"
nationella program,59483268,"78,7"
nationella program,33685428,"93,9"
nationella program,32879845,"100,0"
nationella program,88573795,"93,3"
nationella program,20699742,"96,3"
nationella program,21663998,"89,0"
nationella program,20595770,"90,5"
nationella program,82814120,"99,3"
nationella program,45164827,"94,9"
nationella program,10924758,"92,9"
nationella program,34153869,"97,5"
