skolkod,andel_med_examen
93221031,"75,0"
17474377,"94,4"
74776778,"96,4"
18345915,"96,6"
68229719,"98,6"
61004230,"90,0"
71262305,"95,3"
55795961,"100,0"
84947634,"89,6"
23517336,"100,0"
48009865,"89,6"
97870412,"100,0"
68564903,"98,2"
82840198,"98,6"
18208087,"91,8"
89982804,"100,0"
19464342,"100,0"
60743463,"100,0"
32960825,"93,2"
43609520,"90,9"
41416934,"100,0"
97968599,"94,1"
21567982,"86,7"
91748148,"88,5"
49379603,..
80167319,..
42218661,"84,8"
73171934,..
83474173,"84,8"
91487291,..
21866405,"89,7"
74434644,"86,0"
42022406,"91,4"
88445871,"91,3"
65192707,"95,7"
18425335,"86,9"
93281974,"88,9"
23424275,"95,0"
43634528,"96,2"
36263479,"95,4"
56679384,"97,4"
30538202,"89,3"
19150273,"96,7"
69018222,"77,6"
25624692,"100,0"
88534520,"96,9"
12889940,"92,6"
16554575,"96,3"
34076477,"88,6"
54896448,"100,0"
25356960,"97,3"
64284020,"91,5"
98132436,"90,9"
53400472,"65,0"
60096875,"80,8"
97758137,"71,7"
26334561,"89,3"
40386043,"86,5"
29324709,"100,0"
26864271,"64,7"
59483268,"78,7"
33685428,"93,9"
32879845,"100,0"
88573795,"93,3"
20699742,"96,3"
21663998,"89,0"
20595770,"90,5"
82814120,"99,3"
45164827,"94,9"
10924758,"92,9"
34153869,"97,5"
88259298,"81,8"
73098153,"83,3"
44240250,"75,7"
17846181,"92,1"
75082798,"82,6"
23555409,"97,9"
91333138,"73,1"
30341162,"82,9"
39936461,"100,0"
72266906,"84,3"
27030026,"92,8"
12154972,"88,5"
16950252,"92,7"
34637764,"87,9"
19912478,"91,7"
73255276,"100,0"
15077883,"86,6"
48434184,"87,2"
58724424,"82,8"
95684185,"97,1"
51138448,"87,5"
19647256,"84,1"
56421429,"96,0"
39911065,"90,3"
17008320,"95,8"
56737496,"93,3"
88850910,"80,0"
93939982,"91,3"
25720752,"94,1"
55155562,"82,8"
31533003,"96,6"
31429031,"93,0"
16361868,..
23164911,"97,0"
24008049,"95,3"
19981611,"94,7"
54481243,"100,0"
36680097,"76,5"
87756916,"76,3"
59734510,"85,3"
19586169,"86,8"
24273261,"97,1"
95683850,"99,2"
59455288,"71,1"
82163292,"94,4"
25679488,"85,2"
25677996,"86,5"
89888648,"89,2"
90003262,..
88163512,"72,7"
35063170,"93,2"
31279294,"81,4"
36782335,"92,3"
23897040,..
20666515,"98,1"
37906565,"100,0"
67279303,"91,3"
21648755,"83,0"
11111710,"84,6"
90551279,"90,5"
93062368,"75,0"
69686851,"83,2"
49616977,"83,3"
54965510,"92,7"
90267145,"97,7"
72998905,"100,0"
84835666,"78,2"
25872338,..
54164490,"72,0"
69481650,"84,2"
20319353,"73,5"
92194545,"98,4"
88153340,"92,5"
94353434,"86,0"
59396229,"90,9"
95165649,"90,2"
64740897,..
78979604,..
69626109,"74,4"
10974852,..
85068812,"66,7"
78397312,"97,4"
36444853,"83,8"
15414001,"78,2"
38311488,"100,0"
16819383,"73,7"
89837629,"84,5"
12994441,"70,8"
53660780,"99,0"
88774402,"98,9"
75141151,"64,6"
61701709,"96,6"
61469192,"93,7"
84306392,"98,9"
28627819,"89,3"
30086854,"90,0"
26627862,"97,9"
48847282,"86,7"
72517762,..
79094701,"100,0"
38684438,"87,5"
31251822,"85,7"
90099336,..
96590873,"82,4"
35647481,"85,1"
39549479,"81,0"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
12052268,"78,9"
71597051,"100,0"
53231578,"97,9"
11274830,"87,5"
51321260,"91,4"
96279444,"86,1"
40690520,"100,0"
61880907,"88,0"
91011325,"86,7"
97382366,"87,2"
35006050,"87,3"
88886610,"96,3"
10638939,"64,4"
21505555,"98,3"
34336190,"100,0"
21052710,"98,3"
88556189,"67,3"
35236491,"95,1"
69739484,"77,5"
92887917,"94,7"
88834120,"92,0"
70066748,"85,9"
19207279,"99,4"
53640774,"94,2"
58502307,"100,0"
97177328,"73,5"
72127035,"94,7"
70969714,"94,3"
85003442,"97,3"
22752398,"94,3"
68734112,"95,0"
71922787,"92,5"
31843016,"88,2"
74148070,"95,3"
50696507,"85,2"
92507006,"97,0"
44653962,"100,0"
20100577,"87,2"
81993306,"89,4"
19051089,"97,2"
29097621,"90,3"
47264019,"96,8"
87764775,"72,2"
50198492,"90,9"
48438396,"75,6"
98052678,"91,1"
20099064,"92,5"
44341171,"62,1"
32671805,"76,6"
38448056,"80,0"
16313848,"79,5"
79606767,"77,3"
11294673,"100,0"
86327236,"90,2"
41745951,"100,0"
83137205,"88,4"
28398531,"94,5"
66335258,"88,2"
54172830,"88,6"
86310217,"78,6"
83085136,"100,0"
75458014,"88,5"
65136104,"82,4"
61826221,.
79033948,"96,9"
56330385,"73,8"
20228162,"100,0"
68240485,"100,0"
95046058,"94,7"
44392995,"89,8"
53462953,"91,3"
69241230,"78,3"
60730660,"100,0"
85544331,"100,0"
80327946,"88,8"
82592568,"86,7"
78875918,"88,5"
78023197,"89,1"
86385479,"91,2"
40991561,..
49862313,"76,2"
99838438,"78,9"
42859669,"80,0"
70923626,"61,9"
92905347,"91,3"
99592025,"98,3"
34247736,"92,9"
47550455,"92,0"
30329172,"97,9"
76877530,"70,6"
47046103,"86,0"
56664512,..
38167912,"93,3"
43826783,..
58125096,"80,6"
82914148,..
20620556,"93,1"
77839100,..
17173461,"78,6"
55535552,.
19560192,"84,6"
30468157,"91,0"
98053087,"89,2"
92533079,"95,9"
61528940,"94,8"
23681822,"94,4"
66861851,"92,9"
72206824,"94,3"
92858957,"89,7"
46660042,"83,6"
86296935,..
44113417,"89,1"
67783774,..
38917647,..
21363125,.
39555838,"87,0"
85214294,"78,6"
82084961,"73,5"
46162400,"87,8"
98369689,"83,9"
56529916,"91,7"
40810950,"88,9"
67279263,"91,9"
40037982,"91,1"
51210136,"97,5"
73829818,"98,5"
54395430,.
18881773,"78,6"
50908408,"90,9"
18594470,"89,5"
78295411,"78,2"
80686587,"94,0"
72232853,"93,8"
12279302,"85,1"
17849518,"100,0"
64205087,"89,1"
50500028,"89,3"
94570025,"79,2"
91984508,"80,9"
78659008,"80,6"
12448823,..
40667807,"91,9"
18091973,"96,5"
88466776,"97,8"
36539945,..
40634612,"87,7"
62439199,"85,0"
66132676,"89,7"
57942242,"89,7"
80762863,"77,6"
77688926,"98,0"
14508922,"96,9"
69629086,"96,5"
88624631,"82,6"
35390185,..
37358234,"74,1"
31657916,..
21008461,"98,3"
54606928,"93,1"
53893730,"88,1"
46241804,"90,0"
42573391,"100,0"
64574972,"92,3"
19741742,"90,8"
29032715,"88,9"
45830583,"100,0"
48931433,"88,3"
97270136,"82,8"
19909435,"98,6"
30530571,"94,7"
78839208,"98,5"
96024712,"95,6"
30458073,..
40829056,"91,7"
85800840,"95,2"
68920727,"85,7"
27115998,"93,8"
41867682,"88,5"
79516949,"90,3"
65662401,"93,0"
39583059,"89,1"
38645259,"81,3"
96684210,"95,4"
87207941,"90,1"
11673760,"86,3"
46574937,"93,8"
23836342,"87,9"
63791419,"82,1"
39805497,"90,3"
38400227,"77,0"
81619482,"98,4"
83829189,"95,1"
46145886,"96,6"
12395564,"100,0"
90006712,"100,0"
43649848,"80,0"
75344502,"75,0"
84247499,"87,8"
27041885,"76,3"
39149668,"95,8"
97064126,..
32580162,"100,0"
38233622,"87,5"
48722826,"93,3"
73063662,"71,4"
40766349,"89,7"
71571158,"84,4"
53691739,"100,0"
43251309,"100,0"
97596286,"84,5"
67554405,"97,5"
86473502,"78,6"
73944169,"96,0"
98239050,"91,4"
94455820,..
58368956,"83,3"
73567152,"77,1"
61547652,"91,7"
60209222,"91,4"
62104139,"87,3"
87034307,"90,8"
78872213,"97,0"
84286698,"100,0"
62490359,"84,6"
64725297,"89,7"
43362941,"82,6"
23350817,"83,3"
76860623,"98,4"
