program,skolkod,andel_med_gr_behorighet
Nationella program,93221031,..
Nationella program,17474377,..
Nationella program,74776778,"96,4"
Nationella program,18345915,"64,4"
Nationella program,68229719,"85,1"
Nationella program,61004230,"85,0"
Nationella program,71262305,"80,2"
Nationella program,55795961,"84,2"
Nationella program,84947634,"52,1"
Nationella program,23517336,"100,0"
Nationella program,48009865,"89,6"
Nationella program,97870412,"26,2"
Nationella program,68564903,"35,7"
Nationella program,82840198,"89,9"
Nationella program,18208087,"52,1"
Nationella program,89982804,"59,4"
Nationella program,19464342,"88,9"
Nationella program,60743463,"85,7"
Nationella program,32960825,"91,8"
Nationella program,43609520,"72,7"
Nationella program,41416934,"37,5"
Nationella program,97968599,"94,1"
Nationella program,21567982,..
Nationella program,91748148,"88,5"
Nationella program,49379603,..
Nationella program,80167319,..
Nationella program,42218661,"84,8"
Nationella program,73171934,..
Nationella program,83474173,..
Nationella program,91487291,..
Nationella program,21866405,..
Nationella program,74434644,"74,2"
Nationella program,42022406,"86,4"
Nationella program,88445871,"10,7"
Nationella program,65192707,"95,7"
Nationella program,18425335,"29,8"
Nationella program,93281974,"62,2"
Nationella program,23424275,"41,7"
Nationella program,43634528,"96,2"
Nationella program,36263479,"95,4"
Nationella program,56679384,"97,4"
Nationella program,30538202,"89,3"
Nationella program,19150273,"90,0"
Nationella program,69018222,"77,6"
Nationella program,25624692,..
Nationella program,88534520,"65,6"
Nationella program,12889940,"92,6"
Nationella program,16554575,"40,7"
Nationella program,34076477,"88,6"
Nationella program,54896448,"100,0"
Nationella program,25356960,"23,0"
Nationella program,64284020,"52,1"
Nationella program,98132436,"22,1"
Nationella program,53400472,"65,0"
Nationella program,60096875,..
Nationella program,97758137,"71,7"
Nationella program,26334561,"85,8"
Nationella program,40386043,"75,2"
Nationella program,29324709,..
Nationella program,26864271,.
Nationella program,59483268,"66,0"
Nationella program,33685428,"78,8"
Nationella program,32879845,"100,0"
Nationella program,88573795,"93,3"
Nationella program,20699742,"96,3"
Nationella program,21663998,"89,0"
Nationella program,20595770,"90,5"
Nationella program,82814120,"92,1"
Nationella program,45164827,"94,9"
Nationella program,10924758,"85,7"
Nationella program,34153869,"88,9"
Nationella program,88259298,"72,7"
Nationella program,73098153,..
Nationella program,44240250,..
Nationella program,17846181,"89,5"
Nationella program,75082798,"65,1"
Nationella program,23555409,"86,1"
Nationella program,91333138,"38,5"
Nationella program,30341162,"77,1"
Nationella program,39936461,"85,2"
Nationella program,72266906,"83,5"
Nationella program,27030026,"90,7"
Nationella program,12154972,"28,2"
Nationella program,16950252,"78,0"
Nationella program,34637764,"62,1"
Nationella program,19912478,"91,7"
Nationella program,73255276,"75,0"
Nationella program,15077883,"55,7"
Nationella program,48434184,"64,2"
Nationella program,58724424,"55,2"
Nationella program,95684185,"97,1"
Nationella program,51138448,"78,6"
Nationella program,19647256,..
Nationella program,56421429,"72,0"
Nationella program,39911065,"85,5"
Nationella program,17008320,"88,7"
Nationella program,56737496,"61,3"
Nationella program,88850910,..
Nationella program,93939982,"65,0"
Nationella program,25720752,"85,3"
Nationella program,55155562,"60,2"
Nationella program,31533003,"89,7"
Nationella program,31429031,"58,1"
Nationella program,16361868,..
Nationella program,23164911,"97,0"
Nationella program,24008049,"71,9"
Nationella program,19981611,"94,7"
Nationella program,54481243,"100,0"
Nationella program,36680097,..
Nationella program,87756916,..
Nationella program,59734510,..
Nationella program,19586169,"41,2"
Nationella program,24273261,"68,6"
Nationella program,95683850,"75,6"
Nationella program,59455288,"52,6"
Nationella program,82163292,"42,6"
Nationella program,25679488,"71,6"
Nationella program,25677996,"78,8"
Nationella program,89888648,"56,6"
Nationella program,90003262,..
Nationella program,88163512,..
Nationella program,35063170,"86,4"
Nationella program,31279294,"62,8"
Nationella program,36782335,"70,8"
Nationella program,23897040,..
Nationella program,20666515,"68,5"
Nationella program,37906565,"52,0"
Nationella program,67279303,"21,7"
Nationella program,21648755,"68,1"
Nationella program,11111710,"74,4"
Nationella program,90551279,"54,0"
Nationella program,93062368,..
Nationella program,69686851,"45,1"
Nationella program,49616977,"74,2"
Nationella program,54965510,"92,7"
Nationella program,90267145,"41,9"
Nationella program,72998905,..
