skolkod,andel_med_studiebevis
93221031,..
17474377,..
74776778,..
18345915,..
68229719,..
61004230,..
71262305,..
55795961,.
84947634,..
23517336,.
48009865,"10,4"
97870412,.
68564903,..
82840198,..
18208087,..
89982804,.
19464342,.
60743463,.
32960825,..
43609520,..
41416934,.
97968599,..
21567982,..
91748148,"11,5"
49379603,.
80167319,.
42218661,..
73171934,.
83474173,..
91487291,.
21866405,..
74434644,"14,0"
42022406,..
88445871,..
65192707,..
18425335,"13,1"
93281974,..
23424275,..
43634528,..
36263479,..
56679384,..
30538202,..
19150273,..
69018222,"22,4"
25624692,.
88534520,..
12889940,..
16554575,..
34076477,"11,4"
54896448,.
25356960,..
64284020,..
98132436,..
53400472,..
60096875,..
97758137,"28,3"
26334561,"10,7"
40386043,"13,5"
29324709,.
26864271,..
59483268,"21,3"
33685428,..
32879845,.
88573795,..
20699742,..
21663998,"11,0"
20595770,"9,5"
82814120,..
45164827,..
10924758,..
34153869,..
88259298,..
73098153,..
44240250,..
17846181,..
75082798,"17,4"
23555409,..
91333138,..
30341162,..
39936461,.
72266906,"15,7"
27030026,..
12154972,..
16950252,..
34637764,"12,1"
19912478,..
73255276,.
15077883,"13,4"
48434184,"12,8"
58724424,..
95684185,..
51138448,..
19647256,..
56421429,..
39911065,..
17008320,..
56737496,..
88850910,..
93939982,..
25720752,..
55155562,"17,2"
31533003,..
31429031,..
16361868,..
23164911,..
24008049,..
19981611,..
54481243,.
36680097,..
87756916,..
59734510,..
19586169,..
24273261,..
95683850,..
59455288,"28,9"
82163292,..
25679488,"14,8"
25677996,..
89888648,..
90003262,..
88163512,..
35063170,..
31279294,..
36782335,"7,7"
23897040,.
20666515,..
37906565,.
67279303,..
21648755,"17,0"
11111710,..
90551279,"9,5"
93062368,..
69686851,"16,8"
49616977,"16,7"
54965510,"7,3"
90267145,..
72998905,.
84835666,"21,8"
25872338,.
54164490,..
69481650,..
20319353,"26,5"
92194545,..
88153340,..
94353434,..
59396229,..
95165649,..
64740897,.
78979604,..
69626109,"25,6"
10974852,.
85068812,"33,3"
78397312,..
36444853,"16,2"
15414001,"21,8"
38311488,.
16819383,"26,3"
89837629,"15,5"
12994441,"29,2"
53660780,..
88774402,..
75141151,"35,4"
61701709,..
61469192,..
84306392,..
28627819,"10,7"
30086854,..
26627862,..
48847282,"13,3"
72517762,"76,9"
79094701,.
38684438,"12,5"
31251822,"14,3"
90099336,.
96590873,"17,6"
35647481,"14,9"
39549479,"19,0"
73147554,.
65752105,.
69983740,.
66491596,.
12052268,"21,1"
71597051,.
53231578,..
11274830,..
51321260,..
96279444,"13,9"
40690520,.
61880907,"12,0"
91011325,..
97382366,"12,8"
35006050,"12,7"
88886610,..
10638939,"35,6"
21505555,..
34336190,.
21052710,..
88556189,"32,7"
35236491,..
69739484,"22,5"
92887917,..
88834120,..
70066748,"14,1"
19207279,..
53640774,..
58502307,.
97177328,"26,5"
72127035,..
70969714,..
85003442,..
22752398,..
68734112,..
71922787,..
31843016,..
74148070,..
50696507,..
92507006,..
44653962,.
20100577,"12,8"
81993306,"10,6"
19051089,..
29097621,..
47264019,..
87764775,..
50198492,"9,1"
48438396,"24,4"
98052678,..
20099064,..
44341171,"37,9"
32671805,"23,4"
38448056,..
16313848,"20,5"
79606767,"22,7"
11294673,.
86327236,..
41745951,.
83137205,..
28398531,..
66335258,..
54172830,"11,4"
86310217,..
83085136,.
75458014,..
65136104,..
61826221,.
79033948,..
56330385,"26,2"
20228162,.
68240485,.
95046058,..
44392995,"10,2"
53462953,"8,7"
69241230,..
60730660,.
85544331,.
80327946,"11,2"
82592568,"13,3"
78875918,"11,5"
78023197,..
86385479,..
40991561,.
49862313,"23,8"
99838438,"21,1"
42859669,"20,0"
70923626,"38,1"
92905347,..
99592025,..
34247736,..
47550455,"8,0"
30329172,..
76877530,..
47046103,..
56664512,.
38167912,..
43826783,.
58125096,"19,4"
82914148,..
20620556,..
77839100,.
17173461,..
55535552,..
19560192,..
30468157,"9,0"
98053087,..
92533079,..
61528940,..
23681822,..
