program,skolkod,andel_med_utokat_prog
nationella program,93221031,"44,4"
nationella program,17474377,..
nationella program,74776778,"28,6"
nationella program,18345915,"58,6"
nationella program,68229719,..
nationella program,61004230,"23,3"
nationella program,71262305,"55,8"
nationella program,55795961,"78,9"
nationella program,84947634,"31,3"
nationella program,23517336,..
nationella program,48009865,"25,2"
nationella program,97870412,"38,1"
nationella program,68564903,"21,4"
nationella program,82840198,"55,1"
nationella program,18208087,"61,6"
nationella program,89982804,"75,0"
nationella program,19464342,"40,7"
nationella program,60743463,"85,7"
nationella program,32960825,"35,6"
nationella program,43609520,"77,3"
nationella program,41416934,"43,1"
nationella program,97968599,..
nationella program,21567982,..
nationella program,91748148,"58,6"
nationella program,49379603,..
nationella program,80167319,.
nationella program,42218661,"63,6"
nationella program,73171934,..
nationella program,83474173,"50,0"
nationella program,91487291,..
nationella program,21866405,"30,8"
nationella program,74434644,"32,6"
nationella program,42022406,"72,8"
nationella program,88445871,"53,4"
nationella program,65192707,"18,8"
nationella program,18425335,"39,3"
nationella program,93281974,"40,0"
nationella program,23424275,"31,7"
nationella program,43634528,"31,3"
nationella program,36263479,"8,6"
nationella program,56679384,"29,5"
nationella program,30538202,..
nationella program,19150273,"46,7"
nationella program,69018222,"14,5"
nationella program,25624692,"57,9"
nationella program,88534520,"65,6"
nationella program,12889940,"52,8"
nationella program,16554575,"77,8"
nationella program,34076477,"19,5"
nationella program,54896448,"100,0"
nationella program,25356960,"33,8"
nationella program,64284020,"36,6"
nationella program,98132436,"40,3"
nationella program,53400472,..
nationella program,60096875,..
nationella program,97758137,"40,0"
nationella program,26334561,..
nationella program,40386043,"21,3"
nationella program,29324709,..
nationella program,26864271,..
nationella program,59483268,"40,4"
nationella program,33685428,"45,5"
nationella program,32879845,..
nationella program,88573795,"73,3"
nationella program,20699742,..
nationella program,21663998,"16,5"
nationella program,20595770,"19,0"
nationella program,82814120,"61,2"
nationella program,45164827,"14,0"
nationella program,10924758,"51,8"
nationella program,34153869,"40,7"
nationella program,88259298,"90,9"
nationella program,73098153,..
nationella program,44240250,"29,7"
nationella program,17846181,"63,2"
nationella program,75082798,"17,0"
nationella program,23555409,"41,7"
nationella program,91333138,"46,2"
nationella program,30341162,..
nationella program,39936461,"100,0"
nationella program,72266906,"37,0"
nationella program,27030026,"13,4"
nationella program,12154972,"44,9"
nationella program,16950252,"56,9"
nationella program,34637764,"25,0"
nationella program,19912478,"33,9"
nationella program,73255276,"75,0"
nationella program,15077883,"32,0"
nationella program,48434184,"30,3"
nationella program,58724424,..
nationella program,95684185,"36,8"
nationella program,51138448,"32,1"
nationella program,19647256,"45,5"
nationella program,56421429,"58,0"
nationella program,39911065,..
nationella program,17008320,"73,2"
nationella program,56737496,"38,7"
nationella program,88850910,..
nationella program,93939982,"28,8"
nationella program,25720752,"27,5"
nationella program,55155562,"38,7"
nationella program,31533003,"38,8"
nationella program,31429031,"30,2"
nationella program,16361868,..
nationella program,23164911,"34,1"
nationella program,24008049,"56,3"
nationella program,19981611,..
nationella program,54481243,..
nationella program,36680097,..
nationella program,87756916,..
nationella program,59734510,"70,6"
nationella program,19586169,"29,4"
nationella program,24273261,..
nationella program,95683850,"86,6"
nationella program,59455288,"34,2"
nationella program,82163292,"63,0"
nationella program,25679488,"26,1"
nationella program,25677996,"53,8"
nationella program,89888648,"48,2"
nationella program,90003262,..
nationella program,88163512,"39,4"
nationella program,35063170,"25,4"
nationella program,31279294,"27,9"
nationella program,36782335,"11,0"
nationella program,23897040,..
nationella program,20666515,"25,9"
nationella program,37906565,..
nationella program,67279303,"56,5"
nationella program,21648755,"26,0"
nationella program,11111710,..
nationella program,90551279,"42,9"
nationella program,93062368,..
nationella program,69686851,"46,0"
nationella program,49616977,"21,2"
nationella program,54965510,"15,4"
nationella program,90267145,"55,8"
nationella program,72998905,"69,2"
nationella program,84835666,"69,1"
nationella program,25872338,.
nationella program,54164490,..
