skolkod,andel_med_utokat_prog
93221031,"44,4"
17474377,..
74776778,"28,6"
18345915,"58,6"
68229719,..
61004230,"23,3"
71262305,"55,8"
55795961,"78,9"
84947634,"31,3"
23517336,..
48009865,"25,2"
97870412,"38,1"
68564903,"21,4"
82840198,"55,1"
18208087,"61,6"
89982804,"75,0"
19464342,"40,7"
60743463,"85,7"
32960825,"35,6"
43609520,"77,3"
41416934,"43,1"
97968599,..
21567982,..
91748148,"58,6"
49379603,..
80167319,.
42218661,"63,6"
73171934,..
83474173,"50,0"
91487291,..
21866405,"30,8"
74434644,"32,6"
42022406,"72,8"
88445871,"53,4"
65192707,"18,8"
18425335,"39,3"
93281974,"40,0"
23424275,"31,7"
43634528,"31,3"
36263479,"8,6"
56679384,"29,5"
30538202,..
19150273,"46,7"
69018222,"14,5"
25624692,"57,9"
88534520,"65,6"
12889940,"52,8"
16554575,"77,8"
34076477,"19,5"
54896448,"100,0"
25356960,"33,8"
64284020,"36,6"
98132436,"40,3"
53400472,..
60096875,..
97758137,"40,0"
26334561,..
40386043,"21,3"
29324709,..
26864271,..
59483268,"40,4"
33685428,"45,5"
32879845,..
88573795,"73,3"
20699742,..
21663998,"16,5"
20595770,"19,0"
82814120,"61,2"
45164827,"14,0"
10924758,"51,8"
34153869,"40,7"
88259298,"90,9"
73098153,..
44240250,"29,7"
17846181,"63,2"
75082798,"17,0"
23555409,"41,7"
91333138,"46,2"
30341162,..
39936461,"100,0"
72266906,"37,0"
27030026,"13,4"
12154972,"44,9"
16950252,"56,9"
34637764,"25,0"
19912478,"33,9"
73255276,"75,0"
15077883,"32,0"
48434184,"30,3"
58724424,..
95684185,"36,8"
51138448,"32,1"
19647256,"45,5"
56421429,"58,0"
39911065,..
17008320,"73,2"
56737496,"38,7"
88850910,..
93939982,"28,8"
25720752,"27,5"
55155562,"38,7"
31533003,"38,8"
31429031,"30,2"
16361868,..
23164911,"34,1"
24008049,"56,3"
19981611,..
54481243,..
36680097,..
87756916,..
59734510,"70,6"
19586169,"29,4"
24273261,..
95683850,"86,6"
59455288,"34,2"
82163292,"63,0"
25679488,"26,1"
25677996,"53,8"
89888648,"48,2"
90003262,..
88163512,"39,4"
35063170,"25,4"
31279294,"27,9"
36782335,"11,0"
23897040,..
20666515,"25,9"
37906565,..
67279303,"56,5"
21648755,"26,0"
11111710,..
90551279,"42,9"
93062368,..
69686851,"46,0"
49616977,"21,2"
54965510,"15,4"
90267145,"55,8"
72998905,"69,2"
84835666,"69,1"
25872338,.
54164490,..
69481650,"28,9"
20319353,"25,0"
92194545,..
88153340,"40,0"
94353434,"49,1"
59396229,"48,5"
95165649,"56,9"
64740897,..
78979604,..
69626109,..
10974852,..
85068812,..
78397312,"7,3"
36444853,"30,6"
15414001,"45,5"
38311488,..
16819383,"21,1"
89837629,"10,7"
12994441,"20,0"
53660780,"100,0"
88774402,"76,8"
75141151,..
61701709,"12,9"
61469192,"77,8"
84306392,"20,9"
28627819,..
30086854,..
26627862,..
48847282,"18,9"
72517762,"38,5"
79094701,"70,0"
38684438,"7,6"
31251822,"46,7"
90099336,..
96590873,"43,5"
35647481,"51,4"
39549479,"70,2"
73147554,"47,8"
65752105,..
69983740,"40,7"
66491596,"48,5"
12052268,"26,6"
71597051,"12,0"
53231578,"25,3"
11274830,"48,6"
51321260,"46,6"
96279444,"23,6"
40690520,"16,6"
61880907,"69,9"
91011325,..
97382366,"30,8"
35006050,"20,9"
88886610,"37,0"
10638939,"31,5"
21505555,..
34336190,..
21052710,"53,3"
88556189,"34,7"
35236491,"62,3"
69739484,"53,5"
92887917,..
88834120,"21,3"
70066748,..
19207279,"13,3"
53640774,"10,0"
58502307,"100,0"
97177328,"24,5"
72127035,"50,0"
70969714,"35,8"
85003442,"27,0"
22752398,"60,4"
68734112,"30,0"
71922787,"28,3"
31843016,"35,3"
74148070,"39,5"
50696507,"88,9"
92507006,"23,8"
44653962,"31,8"
20100577,..
81993306,"50,0"
19051089,..
29097621,"35,5"
47264019,"17,5"
87764775,..
50198492,"32,9"
48438396,"63,4"
98052678,"46,4"
20099064,"63,8"
44341171,..
32671805,"36,2"
38448056,"80,0"
16313848,"20,3"
79606767,"31,8"
11294673,"34,6"
86327236,"37,7"
41745951,"22,4"
83137205,"55,8"
28398531,"38,4"
66335258,"35,3"
54172830,"43,2"
86310217,"35,7"
83085136,"82,7"
75458014,"38,5"
65136104,..
61826221,.
79033948,"69,2"
56330385,"23,0"
20228162,"19,2"
68240485,..
95046058,..
44392995,"26,5"
53462953,"21,4"
69241230,..
60730660,"36,8"
85544331,"72,4"
80327946,"35,4"
82592568,"26,7"
78875918,"37,2"
78023197,..
86385479,"33,3"
40991561,..
49862313,"21,9"
99838438,"36,6"
42859669,"20,0"
70923626,"19,0"
92905347,"23,9"
99592025,"20,0"
34247736,"8,7"
47550455,"39,5"
30329172,"66,7"
76877530,..
47046103,"28,0"
56664512,.
38167912,"56,7"
43826783,.
58125096,"30,6"
82914148,..
20620556,"48,3"
77839100,.
17173461,..
55535552,..
19560192,"59,6"
30468157,"44,3"
98053087,"37,8"
92533079,"24,5"
61528940,..
23681822,..
66861851,"8,7"
72206824,..
92858957,"29,1"
46660042,"14,8"
86296935,..
44113417,"55,0"
67783774,..
38917647,..
21363125,.
39555838,..
85214294,..
82084961,"26,0"
46162400,"61,1"
98369689,..
56529916,"48,3"
40810950,..
67279263,"11,4"
40037982,"62,2"
51210136,"8,3"
73829818,"10,0"
54395430,.
18881773,..
50908408,"90,9"
18594470,"18,9"
78295411,..
80686587,"40,0"
72232853,"50,6"
12279302,"17,0"
17849518,..
64205087,"44,2"
50500028,"28,6"
94570025,..
91984508,"58,8"
78659008,"55,6"
12448823,..
40667807,"27,4"
18091973,"29,1"
88466776,"82,2"
36539945,..
40634612,"35,1"
62439199,..
66132676,"17,2"
57942242,..
80762863,..
77688926,..
14508922,"14,4"
69629086,"12,3"
88624631,..
35390185,..
37358234,..
31657916,..
21008461,..
54606928,"11,8"
53893730,"15,6"
46241804,..
42573391,"83,3"
64574972,"23,1"
19741742,"22,4"
29032715,"24,4"
45830583,..
48931433,"18,0"
97270136,"44,8"
19909435,"58,9"
30530571,"15,0"
78839208,"14,7"
96024712,"15,6"
30458073,..
40829056,..
85800840,"53,8"
68920727,"34,7"
27115998,"67,7"
41867682,..
79516949,"25,0"
65662401,"45,6"
39583059,"50,5"
38645259,..
96684210,"30,4"
87207941,"45,1"
11673760,"22,6"
46574937,"26,0"
23836342,"22,7"
63791419,"40,0"
39805497,"61,1"
38400227,"28,0"
81619482,"31,1"
83829189,..
46145886,"27,6"
12395564,..
90006712,"94,1"
43649848,"60,0"
75344502,"50,0"
84247499,"14,9"
27041885,..
39149668,"29,6"
97064126,..
32580162,"78,3"
38233622,"91,7"
48722826,"49,2"
73063662,"23,8"
40766349,..
71571158,"46,9"
53691739,"57,8"
43251309,..
97596286,"45,2"
67554405,"30,1"
86473502,..
73944169,"34,7"
98239050,"28,6"
94455820,..
58368956,"54,8"
73567152,"37,1"
61547652,"45,8"
60209222,"51,7"
62104139,"17,5"
87034307,"26,1"
78872213,"28,3"
84286698,"61,5"
62490359,"100,0"
64725297,"41,4"
43362941,"73,9"
23350817,..
76860623,..
58191646,..
80405898,"22,6"
56021320,..
41358402,.
63179610,.
64569393,..
87262566,"26,8"
64160122,..
48217580,"18,3"
41844601,"20,0"
51620045,"47,4"
86888278,..
23457902,..
27597104,"73,9"
57397381,"37,6"
56947954,"44,6"
72022487,"37,8"
71512894,"71,0"
70969556,"70,0"
28248021,"46,8"
44417214,"55,4"
25025681,..
88776535,"25,0"
49488344,"34,1"
74408578,"16,3"
71043974,"29,3"
57777751,..
38732602,.
89807183,"14,1"
86724994,"36,1"
61161774,"9,5"
86158933,"33,3"
14102256,"22,5"
75082280,..
75914181,"27,4"
39302565,"35,0"
96818167,..
36072799,"50,0"
61432781,"67,6"
78287294,..
74316305,"91,4"
39096170,..
79527481,"32,8"
67300857,"21,6"
99279503,"24,3"
63653488,..
84476205,"60,0"
24544503,"15,8"
25392789,"8,7"
72109637,..
69240218,"79,1"
14057258,..
38460895,..
31199511,"22,8"
12934438,"20,7"
43313366,"35,5"
86787111,"21,4"
97868185,..
81551726,..
77823650,"71,9"
37550979,..
52634142,"50,5"
76195214,"24,6"
54839753,..
32705515,"49,1"
60214465,..
70137084,"14,8"
82002016,"35,8"
21901328,.
23306658,"56,3"
57350392,..
97535124,"70,6"
11102578,"27,5"
69306209,"46,8"
92651253,..
31740319,"45,9"
10129345,..
17944628,"11,5"
82826083,"65,6"
94468610,..
94090461,"42,7"
12954099,"44,9"
80931789,"11,8"
84098842,"51,7"
90473340,"38,7"
26167236,..
69807202,"32,4"
64648904,"25,5"
75939593,"18,3"
63035915,"15,3"
26324896,..
56639389,"17,9"
95700485,"92,9"
51449748,"25,6"
28267726,"72,0"
28848709,..
12613085,"30,0"
53896162,"27,0"
17779637,"24,1"
11185244,"42,9"
56211717,"85,0"
66824652,"55,3"
49168016,"24,1"
32042066,"38,5"
50821167,..
71929526,"45,2"
92814975,"57,5"
60873719,"33,8"
28085125,..
28770304,"62,2"
21938183,"21,7"
78986228,.
71472793,"48,4"
64123241,"86,7"
69063711,"25,6"
77609073,..
35894996,"60,8"
12926770,..
17119840,..
68748767,"37,2"
23548714,..
48593439,..
91773491,..
30361243,"32,4"
25596917,"62,5"
65722876,"22,0"
20984584,"63,2"
52129378,"32,9"
65381163,"23,0"
98541468,"72,2"
31155312,..
25648215,..
61823258,..
84424083,"49,1"
39178171,"75,9"
49231191,"38,3"
78231062,"12,6"
79994304,..
10481541,"38,5"
68006362,"41,0"
11608031,"56,9"
86762103,..
68381790,"60,2"
13006857,"28,3"
76007769,"33,3"
16956086,"42,5"
58187973,"37,5"
88894245,"66,7"
31870541,..
71160225,.
67752682,"50,0"
47884009,"51,6"
44672598,"65,8"
75340089,"46,9"
36670439,"42,3"
22220001,"55,9"
31822012,..
83161201,"27,2"
15100079,.
55421481,..
99356671,..
16702464,..
71353314,..
29449669,"25,0"
62855448,..
36252055,"16,1"
91812793,"2,9"
14355031,"51,1"
72891848,"42,9"
46611859,"68,9"
58907711,..
68285560,..
58544422,..
65150019,"54,2"
31796890,..
22426680,..
83805032,..
48862305,"43,2"
32887559,"84,8"
71541108,"25,0"
53832505,"39,0"
47537928,..
69471748,"33,0"
49750031,..
76485705,"28,1"
93239262,"40,8"
25745773,"40,6"
99976753,"29,0"
14278480,..
75575321,"9,4"
28023078,"40,0"
43284031,"54,2"
13963517,..
24194577,..
26267406,"66,7"
31255918,"25,0"
51955293,"24,2"
57690933,..
35035671,..
12130801,..
51736304,"46,9"
53180719,"36,5"
27489137,"85,2"
15609112,..
44285075,..
60424371,..
95785055,"6,0"
68655578,"16,0"
17062663,..
68741484,"10,4"
56267421,..
34990065,"42,9"
37054246,"22,2"
39199869,"73,0"
62216381,"63,3"
31179045,"41,7"
72421673,"44,1"
15763669,.
59655752,"32,7"
88750078,"34,7"
41878314,..
41555549,"30,5"
32003298,"79,2"
22383788,"82,6"
85459854,"22,3"
81876614,"51,7"
18711877,"30,8"
67071618,"52,2"
75324351,..
61229217,"48,6"
58929357,"100,0"
42517257,"68,8"
70376604,"22,7"
59575030,"20,2"
93503103,"38,6"
18617410,..
41697930,"40,5"
28025244,..
17184072,..
40338843,"19,3"
77440824,"15,2"
71069359,..
86896907,..
14292382,"36,4"
51981332,"81,8"
87859089,"28,8"
54764253,"48,9"
98908403,"9,0"
16493131,"39,4"
41119610,"100,0"
83272868,"43,2"
11526364,"43,4"
48304166,"48,9"
24982097,..
45552626,"48,5"
50906954,.
97104132,"91,7"
16748680,"31,0"
68597767,..
27964873,"47,2"
30706655,"27,5"
65674821,..
92332557,"24,1"
46332927,"40,5"
78690637,"14,2"
24653673,..
38048202,"12,4"
90990441,..
86319615,.
87303004,"37,8"
97835550,..
22446331,..
26671095,"42,9"
42911621,"35,4"
40575001,"28,1"
75027822,"84,4"
26508763,"58,4"
14504503,"57,7"
21850904,"100,0"
65320354,"41,9"
77544055,"38,9"
49112879,"32,0"
30279258,"17,8"
16198647,"18,1"
12496135,..
76903284,"26,0"
68649663,"29,7"
43623146,.
49141105,..
15870428,"22,0"
26646080,"7,3"
