program,skolkod,andel_minst_e_eng5
Nationella program,93221031,"83,3"
Nationella program,17474377,"94,4"
Nationella program,74776778,"100,0"
Nationella program,18345915,"98,9"
Nationella program,68229719,"98,6"
Nationella program,61004230,"100,0"
Nationella program,71262305,"100,0"
Nationella program,55795961,"100,0"
Nationella program,84947634,"97,9"
Nationella program,23517336,"100,0"
Nationella program,48009865,"100,0"
Nationella program,97870412,"100,0"
Nationella program,68564903,"100,0"
Nationella program,82840198,"100,0"
Nationella program,18208087,"98,6"
Nationella program,89982804,"100,0"
Nationella program,19464342,"100,0"
Nationella program,60743463,"100,0"
Nationella program,32960825,"98,6"
Nationella program,43609520,"100,0"
Nationella program,41416934,"100,0"
Nationella program,97968599,"100,0"
Nationella program,21567982,"86,7"
Nationella program,91748148,"100,0"
Nationella program,49379603,..
Nationella program,80167319,..
Nationella program,42218661,"100,0"
Nationella program,73171934,..
Nationella program,83474173,"100,0"
Nationella program,91487291,..
Nationella program,21866405,"94,9"
Nationella program,74434644,"99,4"
Nationella program,42022406,"100,0"
Nationella program,88445871,"96,1"
Nationella program,65192707,"100,0"
Nationella program,18425335,"95,2"
Nationella program,93281974,"100,0"
Nationella program,23424275,"98,3"
Nationella program,43634528,"98,5"
Nationella program,36263479,"100,0"
Nationella program,56679384,"98,7"
Nationella program,30538202,"100,0"
Nationella program,19150273,"100,0"
Nationella program,69018222,"98,7"
Nationella program,25624692,"100,0"
Nationella program,88534520,"100,0"
Nationella program,12889940,"100,0"
Nationella program,16554575,"100,0"
Nationella program,34076477,"100,0"
Nationella program,54896448,"100,0"
Nationella program,25356960,"100,0"
Nationella program,64284020,"97,2"
Nationella program,98132436,"96,1"
Nationella program,53400472,"90,0"
Nationella program,60096875,"92,3"
Nationella program,97758137,"95,0"
Nationella program,26334561,"100,0"
Nationella program,40386043,"99,4"
Nationella program,29324709,"100,0"
Nationella program,26864271,"82,4"
Nationella program,59483268,"97,9"
Nationella program,33685428,"100,0"
Nationella program,32879845,"100,0"
Nationella program,88573795,"93,3"
Nationella program,20699742,"100,0"
Nationella program,21663998,"100,0"
Nationella program,20595770,"100,0"
Nationella program,82814120,"99,3"
Nationella program,45164827,"100,0"
Nationella program,10924758,"98,2"
Nationella program,34153869,"100,0"
Nationella program,88259298,"100,0"
Nationella program,73098153,"100,0"
Nationella program,44240250,"83,8"
Nationella program,17846181,"100,0"
Nationella program,75082798,"95,4"
Nationella program,23555409,"100,0"
Nationella program,91333138,"100,0"
Nationella program,30341162,"97,1"
Nationella program,39936461,"100,0"
Nationella program,72266906,"99,2"
Nationella program,27030026,"100,0"
Nationella program,12154972,"93,6"
Nationella program,16950252,"100,0"
Nationella program,34637764,"96,8"
Nationella program,19912478,"99,1"
Nationella program,73255276,"100,0"
Nationella program,15077883,"100,0"
Nationella program,48434184,"98,2"
Nationella program,58724424,"100,0"
Nationella program,95684185,"100,0"
Nationella program,51138448,"100,0"
Nationella program,19647256,"97,7"
Nationella program,56421429,"100,0"
Nationella program,39911065,"98,4"
Nationella program,17008320,"100,0"
Nationella program,56737496,"100,0"
Nationella program,88850910,"100,0"
Nationella program,93939982,"100,0"
Nationella program,25720752,"100,0"
Nationella program,55155562,"97,3"
Nationella program,31533003,"99,1"
Nationella program,31429031,"100,0"
Nationella program,16361868,..
Nationella program,23164911,"100,0"
Nationella program,24008049,"97,7"
Nationella program,19981611,"100,0"
Nationella program,54481243,"100,0"
Nationella program,36680097,"94,1"
Nationella program,87756916,"100,0"
Nationella program,59734510,"91,2"
Nationella program,19586169,"95,6"
Nationella program,24273261,"100,0"
Nationella program,95683850,"100,0"
Nationella program,59455288,"86,8"
Nationella program,82163292,"100,0"
Nationella program,25679488,"100,0"
Nationella program,25677996,"98,1"
Nationella program,89888648,"100,0"
Nationella program,90003262,"100,0"
Nationella program,88163512,"90,9"
Nationella program,35063170,"98,3"
Nationella program,31279294,"97,7"
Nationella program,36782335,"99,2"
Nationella program,23897040,..
Nationella program,20666515,"100,0"
Nationella program,37906565,"100,0"
Nationella program,67279303,"95,7"
Nationella program,21648755,"96,6"
Nationella program,11111710,"100,0"
Nationella program,90551279,"99,6"
Nationella program,93062368,"93,8"
Nationella program,69686851,"92,0"
Nationella program,49616977,"98,5"
Nationella program,54965510,"100,0"
Nationella program,90267145,"100,0"
Nationella program,72998905,"100,0"
Nationella program,84835666,"100,0"
Nationella program,25872338,..
Nationella program,54164490,"100,0"
Nationella program,69481650,"97,4"
Nationella program,20319353,"98,5"
Nationella program,92194545,"100,0"
Nationella program,88153340,"100,0"
Nationella program,94353434,"98,2"
Nationella program,59396229,"100,0"
Nationella program,95165649,"98,0"
Nationella program,64740897,..
Nationella program,78979604,..
Nationella program,69626109,"95,3"
Nationella program,10974852,..
Nationella program,85068812,"97,0"
Nationella program,78397312,"100,0"
Nationella program,36444853,"99,1"
Nationella program,15414001,"100,0"
Nationella program,38311488,"100,0"
Nationella program,16819383,"94,7"
Nationella program,89837629,"99,0"
Nationella program,12994441,"100,0"
Nationella program,53660780,"100,0"
Nationella program,88774402,"100,0"
Nationella program,75141151,"97,6"
Nationella program,61701709,"100,0"
Nationella program,61469192,"100,0"
Nationella program,84306392,"99,4"
Nationella program,28627819,"100,0"
Nationella program,30086854,"100,0"
Nationella program,26627862,"100,0"
Nationella program,48847282,"100,0"
Nationella program,72517762,"100,0"
Nationella program,79094701,"100,0"
Nationella program,38684438,"99,3"
Nationella program,31251822,"100,0"
Nationella program,90099336,..
Nationella program,96590873,"98,8"
Nationella program,35647481,"100,0"
Nationella program,39549479,"98,8"
Nationella program,73147554,"100,0"
Nationella program,65752105,..
Nationella program,69983740,"100,0"
Nationella program,66491596,"100,0"
Nationella program,12052268,"99,1"
Nationella program,71597051,"100,0"
Nationella program,53231578,"100,0"
Nationella program,11274830,"100,0"
Nationella program,51321260,"98,3"
Nationella program,96279444,"100,0"
Nationella program,40690520,"100,0"
Nationella program,61880907,"100,0"
Nationella program,91011325,"100,0"
Nationella program,97382366,"100,0"
Nationella program,35006050,"99,1"
Nationella program,88886610,"96,3"
Nationella program,10638939,"97,3"
Nationella program,21505555,"100,0"
