skolkod,andel_minst_e_eng5
93221031,"83,3"
17474377,"94,4"
74776778,"100,0"
18345915,"98,9"
68229719,"98,6"
61004230,"100,0"
71262305,"100,0"
55795961,"100,0"
84947634,"97,9"
23517336,"100,0"
48009865,"100,0"
97870412,"100,0"
68564903,"100,0"
82840198,"100,0"
18208087,"98,6"
89982804,"100,0"
19464342,"100,0"
60743463,"100,0"
32960825,"98,6"
43609520,"100,0"
41416934,"100,0"
97968599,"100,0"
21567982,"86,7"
91748148,"100,0"
49379603,..
80167319,..
42218661,"100,0"
73171934,..
83474173,"100,0"
91487291,..
21866405,"94,9"
74434644,"99,4"
42022406,"100,0"
88445871,"96,1"
65192707,"100,0"
18425335,"95,2"
93281974,"100,0"
23424275,"98,3"
43634528,"98,5"
36263479,"100,0"
56679384,"98,7"
30538202,"100,0"
19150273,"100,0"
69018222,"98,7"
25624692,"100,0"
88534520,"100,0"
12889940,"100,0"
16554575,"100,0"
34076477,"100,0"
54896448,"100,0"
25356960,"100,0"
64284020,"97,2"
98132436,"96,1"
53400472,"90,0"
60096875,"92,3"
97758137,"95,0"
26334561,"100,0"
40386043,"99,4"
29324709,"100,0"
26864271,"82,4"
59483268,"97,9"
33685428,"100,0"
32879845,"100,0"
88573795,"93,3"
20699742,"100,0"
21663998,"100,0"
20595770,"100,0"
82814120,"99,3"
45164827,"100,0"
10924758,"98,2"
34153869,"100,0"
88259298,"100,0"
73098153,"100,0"
44240250,"83,8"
17846181,"100,0"
75082798,"95,4"
23555409,"100,0"
91333138,"100,0"
30341162,"97,1"
39936461,"100,0"
72266906,"99,2"
27030026,"100,0"
12154972,"93,6"
16950252,"100,0"
34637764,"96,8"
19912478,"99,1"
73255276,"100,0"
15077883,"100,0"
48434184,"98,2"
58724424,"100,0"
95684185,"100,0"
51138448,"100,0"
19647256,"97,7"
56421429,"100,0"
39911065,"98,4"
17008320,"100,0"
56737496,"100,0"
88850910,"100,0"
93939982,"100,0"
25720752,"100,0"
55155562,"97,3"
31533003,"99,1"
31429031,"100,0"
16361868,..
23164911,"100,0"
24008049,"97,7"
19981611,"100,0"
54481243,"100,0"
36680097,"94,1"
87756916,"100,0"
59734510,"91,2"
19586169,"95,6"
24273261,"100,0"
95683850,"100,0"
59455288,"86,8"
82163292,"100,0"
25679488,"100,0"
25677996,"98,1"
89888648,"100,0"
90003262,"100,0"
88163512,"90,9"
35063170,"98,3"
31279294,"97,7"
36782335,"99,2"
23897040,..
20666515,"100,0"
37906565,"100,0"
67279303,"95,7"
21648755,"96,6"
11111710,"100,0"
90551279,"99,6"
93062368,"93,8"
69686851,"92,0"
49616977,"98,5"
54965510,"100,0"
90267145,"100,0"
72998905,"100,0"
84835666,"100,0"
25872338,..
54164490,"100,0"
69481650,"97,4"
20319353,"98,5"
92194545,"100,0"
88153340,"100,0"
94353434,"98,2"
59396229,"100,0"
95165649,"98,0"
64740897,..
78979604,..
69626109,"95,3"
10974852,..
85068812,"97,0"
78397312,"100,0"
36444853,"99,1"
15414001,"100,0"
38311488,"100,0"
16819383,"94,7"
89837629,"99,0"
12994441,"100,0"
53660780,"100,0"
88774402,"100,0"
75141151,"97,6"
61701709,"100,0"
61469192,"100,0"
84306392,"99,4"
28627819,"100,0"
30086854,"100,0"
26627862,"100,0"
48847282,"100,0"
72517762,"100,0"
79094701,"100,0"
38684438,"99,3"
31251822,"100,0"
90099336,..
96590873,"98,8"
35647481,"100,0"
39549479,"98,8"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
12052268,"99,1"
71597051,"100,0"
53231578,"100,0"
11274830,"100,0"
51321260,"98,3"
96279444,"100,0"
40690520,"100,0"
61880907,"100,0"
91011325,"100,0"
97382366,"100,0"
35006050,"99,1"
88886610,"96,3"
10638939,"97,3"
21505555,"100,0"
34336190,"100,0"
21052710,"100,0"
88556189,"93,9"
35236491,"98,4"
69739484,"98,6"
92887917,"100,0"
88834120,"100,0"
70066748,"100,0"
19207279,"100,0"
53640774,"100,0"
58502307,"100,0"
97177328,"100,0"
72127035,"97,4"
70969714,"100,0"
85003442,"100,0"
22752398,"100,0"
68734112,"100,0"
71922787,"100,0"
31843016,"97,1"
74148070,"100,0"
50696507,"100,0"
92507006,"100,0"
44653962,"100,0"
20100577,"100,0"
81993306,"100,0"
19051089,"100,0"
29097621,"100,0"
47264019,"100,0"
87764775,"94,4"
50198492,"100,0"
48438396,"95,1"
98052678,"98,2"
20099064,"100,0"
44341171,"100,0"
32671805,"91,5"
38448056,"93,3"
16313848,"98,6"
79606767,"98,5"
11294673,"100,0"
86327236,"91,8"
41745951,"100,0"
83137205,"100,0"
28398531,"100,0"
66335258,"98,0"
54172830,"97,7"
86310217,"100,0"
83085136,"100,0"
75458014,"100,0"
65136104,"100,0"
61826221,.
79033948,"100,0"
56330385,"98,4"
20228162,"100,0"
68240485,"100,0"
95046058,"100,0"
44392995,"99,0"
53462953,"99,2"
69241230,"95,7"
60730660,"100,0"
85544331,"100,0"
80327946,"97,5"
82592568,"100,0"
78875918,"99,3"
78023197,"93,5"
86385479,"98,2"
40991561,..
49862313,"99,0"
99838438,"98,6"
42859669,"98,8"
70923626,"92,1"
92905347,"100,0"
99592025,"100,0"
34247736,"100,0"
47550455,"96,3"
30329172,"100,0"
76877530,"100,0"
47046103,"100,0"
56664512,..
38167912,"100,0"
43826783,..
58125096,"99,2"
82914148,"100,0"
20620556,"100,0"
77839100,..
17173461,"96,4"
55535552,..
19560192,"96,2"
30468157,"100,0"
98053087,"94,6"
92533079,"100,0"
61528940,"100,0"
23681822,"100,0"
66861851,"100,0"
72206824,"100,0"
92858957,"98,9"
46660042,"93,8"
86296935,..
44113417,"100,0"
67783774,..
38917647,"100,0"
21363125,..
39555838,"100,0"
85214294,"92,9"
82084961,"99,5"
46162400,"100,0"
98369689,"91,9"
56529916,"98,3"
40810950,"100,0"
67279263,"100,0"
40037982,"97,8"
51210136,"100,0"
73829818,"100,0"
54395430,.
18881773,"100,0"
50908408,"100,0"
18594470,"100,0"
78295411,"100,0"
80686587,"100,0"
72232853,"100,0"
12279302,"98,9"
17849518,"100,0"
64205087,"100,0"
50500028,"100,0"
94570025,"100,0"
91984508,"100,0"
78659008,"97,2"
12448823,..
40667807,"98,4"
18091973,"100,0"
88466776,"100,0"
36539945,..
40634612,"100,0"
62439199,"100,0"
66132676,"98,9"
57942242,"97,4"
80762863,"93,1"
77688926,"100,0"
14508922,"100,0"
69629086,"99,1"
88624631,"87,0"
35390185,..
37358234,"100,0"
31657916,"91,7"
21008461,"100,0"
54606928,"97,1"
53893730,"100,0"
46241804,"100,0"
42573391,"100,0"
64574972,"98,5"
19741742,"100,0"
29032715,"100,0"
45830583,"100,0"
48931433,"100,0"
97270136,"86,2"
19909435,"100,0"
30530571,"100,0"
78839208,"100,0"
96024712,"100,0"
30458073,..
40829056,"100,0"
85800840,"100,0"
68920727,"100,0"
27115998,"100,0"
41867682,"100,0"
79516949,"100,0"
65662401,"100,0"
39583059,"94,0"
38645259,"96,9"
96684210,"100,0"
