skolkod,andel_minst_e_gyarb
93221031,"100,0"
17474377,"100,0"
74776778,"98,2"
18345915,"98,9"
68229719,"100,0"
61004230,"96,7"
71262305,"98,8"
55795961,"100,0"
84947634,"97,9"
23517336,"100,0"
48009865,"97,4"
97870412,"100,0"
68564903,"98,2"
82840198,"98,6"
18208087,"93,2"
89982804,"100,0"
19464342,"100,0"
60743463,"100,0"
32960825,"98,6"
43609520,"100,0"
41416934,"100,0"
97968599,"96,1"
21567982,"100,0"
91748148,"98,9"
49379603,..
80167319,..
42218661,"93,9"
73171934,..
83474173,"100,0"
91487291,..
21866405,"97,4"
74434644,"94,4"
42022406,"95,1"
88445871,"98,1"
65192707,"97,8"
18425335,"95,2"
93281974,"97,8"
23424275,"96,7"
43634528,"100,0"
36263479,"98,7"
56679384,"100,0"
30538202,"89,3"
19150273,"96,7"
69018222,"92,1"
25624692,"100,0"
88534520,"96,9"
12889940,"98,1"
16554575,"100,0"
34076477,"98,0"
54896448,"100,0"
25356960,"98,6"
64284020,"97,2"
98132436,"100,0"
53400472,"95,0"
60096875,"92,3"
97758137,"91,7"
26334561,"96,4"
40386043,"98,7"
29324709,"100,0"
26864271,"88,2"
59483268,"93,6"
33685428,"100,0"
32879845,"100,0"
88573795,"100,0"
20699742,"99,3"
21663998,"99,1"
20595770,"97,1"
82814120,"100,0"
45164827,"97,8"
10924758,"96,4"
34153869,"100,0"
88259298,"90,9"
73098153,"100,0"
44240250,"97,3"
17846181,"92,1"
75082798,"97,5"
23555409,"97,9"
91333138,"100,0"
30341162,"100,0"
39936461,"100,0"
72266906,"96,9"
27030026,"94,8"
12154972,"97,4"
16950252,"96,7"
34637764,"96,8"
19912478,"99,1"
73255276,"100,0"
15077883,"99,0"
48434184,"98,2"
58724424,"96,6"
95684185,"100,0"
51138448,"92,9"
19647256,"100,0"
56421429,"98,0"
39911065,"98,4"
17008320,"100,0"
56737496,"97,3"
88850910,"93,3"
93939982,"100,0"
25720752,"98,0"
55155562,"94,6"
31533003,"99,1"
31429031,"97,7"
16361868,..
23164911,"99,2"
24008049,"99,2"
19981611,"100,0"
54481243,"100,0"
36680097,"94,1"
87756916,"89,5"
59734510,"94,1"
19586169,"94,1"
24273261,"97,1"
95683850,"100,0"
59455288,"89,5"
82163292,"98,1"
25679488,"98,9"
25677996,"92,3"
89888648,"98,8"
90003262,"100,0"
88163512,"97,0"
35063170,"94,9"
31279294,"95,3"
36782335,"98,6"
23897040,..
20666515,"98,1"
37906565,"100,0"
67279303,"100,0"
21648755,"95,3"
11111710,"89,7"
90551279,"98,0"
93062368,"87,5"
69686851,"97,3"
49616977,"93,9"
54965510,"97,2"
90267145,"100,0"
72998905,"100,0"
84835666,"96,4"
25872338,..
54164490,"96,0"
69481650,"97,4"
20319353,"80,9"
92194545,"100,0"
88153340,"95,0"
94353434,"89,5"
59396229,"98,5"
95165649,"98,0"
64740897,..
78979604,..
69626109,"95,3"
10974852,..
85068812,"84,8"
78397312,"99,0"
36444853,"91,0"
15414001,"96,4"
38311488,"100,0"
16819383,"94,7"
89837629,"89,3"
12994441,"92,3"
53660780,"100,0"
88774402,"99,4"
75141151,"74,4"
61701709,"99,3"
61469192,"98,4"
84306392,"99,4"
28627819,"94,2"
30086854,"100,0"
26627862,"97,9"
48847282,"91,1"
72517762,..
79094701,"100,0"
38684438,"92,4"
31251822,"96,2"
90099336,..
96590873,"100,0"
35647481,"98,6"
39549479,"89,3"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
12052268,"92,7"
71597051,"100,0"
53231578,"98,9"
11274830,"93,1"
51321260,"98,3"
96279444,"95,8"
40690520,"100,0"
61880907,"88,0"
91011325,"93,3"
97382366,"94,9"
35006050,"94,5"
88886610,"100,0"
10638939,"69,9"
21505555,"100,0"
34336190,"100,0"
21052710,"100,0"
88556189,"87,8"
35236491,"98,4"
69739484,"97,2"
92887917,"98,7"
88834120,"96,0"
70066748,"96,2"
19207279,"100,0"
53640774,"97,5"
58502307,"100,0"
97177328,"91,8"
72127035,"100,0"
70969714,"98,1"
85003442,"100,0"
22752398,"96,2"
68734112,"97,5"
71922787,"94,3"
31843016,"97,1"
74148070,"97,7"
50696507,"100,0"
92507006,"99,0"
44653962,"100,0"
20100577,"95,7"
81993306,"94,7"
19051089,"100,0"
29097621,"95,2"
47264019,"100,0"
87764775,"94,4"
50198492,"96,5"
48438396,"85,4"
98052678,"100,0"
20099064,"98,8"
44341171,"86,2"
32671805,"100,0"
38448056,"100,0"
16313848,"91,8"
79606767,"83,3"
11294673,"100,0"
86327236,"100,0"
41745951,"100,0"
83137205,"90,7"
28398531,"97,3"
66335258,"98,0"
54172830,"96,6"
86310217,"92,9"
83085136,"100,0"
75458014,"96,2"
65136104,"94,1"
61826221,.
79033948,"96,9"
56330385,"96,7"
20228162,"100,0"
68240485,"100,0"
95046058,"100,0"
44392995,"100,0"
53462953,"94,4"
69241230,"78,3"
60730660,"100,0"
85544331,"100,0"
80327946,"98,8"
82592568,"93,3"
78875918,"97,3"
78023197,"97,8"
86385479,"100,0"
40991561,..
49862313,"97,1"
99838438,"90,1"
42859669,"89,8"
