skolkod,andel_minst_e_ma1
93221031,"94,4"
17474377,"100,0"
74776778,"100,0"
18345915,"100,0"
68229719,"100,0"
61004230,"100,0"
71262305,"100,0"
55795961,"100,0"
84947634,"95,8"
23517336,"100,0"
48009865,"100,0"
97870412,"100,0"
68564903,"100,0"
82840198,"98,6"
18208087,"100,0"
89982804,"100,0"
19464342,"100,0"
60743463,"100,0"
32960825,"100,0"
43609520,"100,0"
41416934,"100,0"
97968599,"100,0"
21567982,"100,0"
91748148,"100,0"
49379603,..
80167319,..
42218661,"100,0"
73171934,..
83474173,"89,1"
91487291,..
21866405,"100,0"
74434644,"97,2"
42022406,"98,8"
88445871,"98,1"
65192707,"100,0"
18425335,"96,4"
93281974,"93,3"
23424275,"100,0"
43634528,"100,0"
36263479,"100,0"
56679384,"100,0"
30538202,"100,0"
19150273,"96,7"
69018222,"98,7"
25624692,"100,0"
88534520,"100,0"
12889940,"100,0"
16554575,"100,0"
34076477,"97,3"
54896448,"100,0"
25356960,"100,0"
64284020,"100,0"
98132436,"97,4"
53400472,"95,0"
60096875,"92,3"
97758137,"100,0"
26334561,"100,0"
40386043,"99,0"
29324709,"100,0"
26864271,"70,6"
59483268,"100,0"
33685428,"100,0"
32879845,"100,0"
88573795,"100,0"
20699742,"100,0"
21663998,"100,0"
20595770,"99,0"
82814120,"100,0"
45164827,"100,0"
10924758,"98,2"
34153869,"100,0"
88259298,"100,0"
73098153,"91,7"
44240250,"78,4"
17846181,"100,0"
75082798,"94,2"
23555409,"99,3"
91333138,"76,9"
30341162,"97,1"
39936461,"100,0"
72266906,"99,2"
27030026,"100,0"
12154972,"97,4"
16950252,"99,2"
34637764,"97,6"
19912478,"98,2"
73255276,"100,0"
15077883,"97,9"
48434184,"95,4"
58724424,"100,0"
95684185,"98,5"
51138448,"98,2"
19647256,"93,2"
56421429,"100,0"
39911065,"96,8"
17008320,"98,6"
56737496,"100,0"
88850910,"100,0"
93939982,"97,5"
25720752,"99,0"
55155562,"96,2"
31533003,"99,1"
31429031,"97,7"
16361868,..
23164911,"100,0"
24008049,"100,0"
19981611,"100,0"
54481243,"100,0"
36680097,"94,1"
87756916,"89,5"
59734510,"94,1"
19586169,"94,1"
24273261,"100,0"
95683850,"100,0"
59455288,"92,1"
82163292,"98,1"
25679488,"95,5"
25677996,"92,3"
89888648,"96,4"
90003262,..
88163512,"100,0"
35063170,"100,0"
31279294,"93,0"
36782335,"97,8"
23897040,..
20666515,"100,0"
37906565,"100,0"
67279303,"95,7"
21648755,"95,7"
11111710,"100,0"
90551279,"96,0"
93062368,"87,5"
69686851,"99,1"
49616977,"98,5"
54965510,"99,7"
90267145,"97,7"
72998905,"100,0"
84835666,"98,2"
25872338,..
54164490,"84,0"
69481650,"94,7"
20319353,"95,6"
92194545,"98,4"
88153340,"100,0"
94353434,"94,7"
59396229,"98,5"
95165649,"98,0"
64740897,..
78979604,..
69626109,"93,0"
10974852,..
85068812,"90,9"
78397312,"100,0"
36444853,"96,4"
15414001,"89,1"
38311488,"100,0"
16819383,"91,2"
89837629,"99,0"
12994441,"98,5"
53660780,"100,0"
88774402,"100,0"
75141151,"95,1"
61701709,"100,0"
61469192,"98,4"
84306392,"100,0"
28627819,"100,0"
30086854,"97,5"
26627862,"100,0"
48847282,"100,0"
72517762,"80,8"
79094701,"100,0"
38684438,"98,6"
31251822,"98,1"
90099336,..
96590873,"95,3"
35647481,"100,0"
39549479,"100,0"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
12052268,"97,2"
71597051,"100,0"
53231578,"100,0"
11274830,"98,6"
51321260,"94,8"
96279444,"100,0"
40690520,"100,0"
61880907,"97,6"
91011325,"93,3"
97382366,"97,4"
35006050,"100,0"
88886610,"96,3"
10638939,"86,3"
21505555,"100,0"
34336190,"100,0"
21052710,"100,0"
88556189,"87,8"
35236491,"100,0"
69739484,"91,5"
92887917,"97,4"
88834120,"100,0"
70066748,"100,0"
19207279,"100,0"
53640774,"98,3"
58502307,"100,0"
97177328,"98,0"
72127035,"100,0"
70969714,"100,0"
85003442,"100,0"
22752398,"100,0"
68734112,"100,0"
71922787,"100,0"
31843016,"88,2"
74148070,"100,0"
50696507,"100,0"
92507006,"100,0"
