skolkod,andel_minst_e_na1
93221031,"97,2"
17474377,"100,0"
74776778,"100,0"
18345915,"91,9"
68229719,"100,0"
61004230,"100,0"
71262305,"100,0"
55795961,"83,3"
84947634,"100,0"
23517336,"91,7"
48009865,"97,0"
97870412,"90,5"
68564903,"98,2"
82840198,"100,0"
18208087,"90,9"
89982804,"100,0"
19464342,"100,0"
60743463,..
32960825,"100,0"
43609520,"95,5"
41416934,"95,8"
97968599,"100,0"
21567982,"86,7"
91748148,"100,0"
49379603,..
80167319,..
42218661,"100,0"
73171934,..
83474173,"97,8"
91487291,..
21866405,"76,9"
74434644,"98,3"
42022406,"92,6"
88445871,"99,0"
65192707,"100,0"
18425335,"89,3"
93281974,"100,0"
23424275,"88,3"
43634528,.
36263479,"99,3"
56679384,"98,7"
30538202,"100,0"
19150273,"100,0"
69018222,"83,3"
25624692,"94,7"
88534520,"96,9"
12889940,.
16554575,"96,3"
34076477,"100,0"
54896448,"100,0"
25356960,"95,9"
64284020,"91,5"
98132436,"94,8"
53400472,..
60096875,"76,9"
97758137,"94,9"
26334561,"96,5"
40386043,"96,0"
29324709,..
26864271,..
59483268,"88,9"
33685428,"93,9"
32879845,"100,0"
88573795,"100,0"
20699742,"100,0"
21663998,.
20595770,"98,8"
82814120,"100,0"
45164827,"97,8"
10924758,"92,9"
34153869,"92,9"
88259298,..
73098153,"91,7"
44240250,"97,3"
17846181,"95,2"
75082798,"90,2"
23555409,"100,0"
91333138,"88,5"
30341162,"89,5"
39936461,"100,0"
72266906,"94,5"
27030026,"100,0"
12154972,"88,5"
16950252,"96,2"
34637764,"94,3"
19912478,"99,1"
73255276,"100,0"
15077883,"76,4"
48434184,"93,3"
58724424,"79,3"
95684185,"97,2"
51138448,"100,0"
19647256,"95,5"
56421429,"100,0"
39911065,"100,0"
17008320,..
56737496,"96,0"
88850910,"73,3"
93939982,"98,8"
25720752,"96,9"
55155562,"93,6"
31533003,"100,0"
31429031,"95,3"
16361868,..
23164911,.
24008049,"92,2"
19981611,"93,8"
54481243,"100,0"
36680097,"73,3"
87756916,"86,8"
59734510,"91,2"
19586169,"86,2"
24273261,"92,9"
95683850,"91,9"
59455288,"89,7"
82163292,"94,4"
25679488,"87,5"
25677996,"94,9"
89888648,"97,2"
90003262,..
88163512,"90,9"
35063170,"100,0"
31279294,"83,9"
36782335,"96,5"
23897040,.
20666515,"100,0"
37906565,"100,0"
67279303,"100,0"
21648755,"91,1"
11111710,"100,0"
90551279,"92,7"
93062368,"93,8"
69686851,"91,7"
49616977,"98,5"
54965510,"95,9"
90267145,"100,0"
72998905,"96,2"
84835666,"96,3"
25872338,..
54164490,"72,0"
69481650,"78,9"
20319353,"97,1"
92194545,"100,0"
88153340,"95,0"
94353434,"86,0"
59396229,"90,9"
95165649,"90,2"
64740897,..
78979604,..
69626109,"83,7"
10974852,..
85068812,"66,7"
78397312,"98,4"
36444853,"96,4"
15414001,"74,5"
38311488,"90,6"
16819383,"95,6"
89837629,"98,1"
12994441,"97,7"
53660780,"100,0"
88774402,"100,0"
75141151,"97,0"
61701709,"100,0"
61469192,"90,5"
84306392,.
28627819,"100,0"
30086854,"87,5"
26627862,"100,0"
48847282,"100,0"
72517762,..
79094701,"100,0"
38684438,"91,0"
31251822,"93,3"
90099336,..
96590873,"96,5"
35647481,.
39549479,"100,0"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,.
12052268,"100,0"
71597051,"100,0"
53231578,"89,7"
11274830,"88,9"
51321260,"98,3"
96279444,"100,0"
40690520,"100,0"
61880907,"85,5"
91011325,"80,0"
97382366,"97,4"
35006050,"90,5"
88886610,"88,9"
10638939,"94,5"
21505555,.
34336190,"100,0"
21052710,"98,2"
88556189,"49,0"
35236491,"98,4"
69739484,"91,5"
92887917,"96,1"
88834120,"98,7"
70066748,"100,0"
19207279,"100,0"
53640774,"99,0"
58502307,"92,9"
97177328,"94,1"
72127035,"96,9"
70969714,"83,3"
85003442,"97,3"
22752398,"90,6"
68734112,"97,5"
71922787,"100,0"
31843016,"70,6"
74148070,..
50696507,"100,0"
92507006,"100,0"
44653962,"100,0"
20100577,"95,7"
81993306,"90,3"
19051089,.
29097621,"87,1"
47264019,"96,7"
87764775,"83,3"
50198492,"94,4"
48438396,"95,1"
98052678,..
20099064,"90,0"
44341171,"79,3"
32671805,"87,2"
38448056,"100,0"
16313848,"99,2"
79606767,"98,5"
11294673,"97,6"
86327236,"97,8"
41745951,"100,0"
83137205,"95,8"
28398531,"91,4"
66335258,"94,1"
54172830,"89,4"
86310217,"71,4"
83085136,"100,0"
75458014,"96,2"
65136104,"92,9"
61826221,.
79033948,"97,7"
56330385,"88,7"
20228162,"100,0"
68240485,"98,2"
95046058,"97,4"
44392995,"89,8"
53462953,"95,8"
69241230,"91,3"
60730660,"100,0"
85544331,"100,0"
80327946,"91,9"
82592568,"100,0"
78875918,"76,9"
78023197,"95,7"
86385479,"89,6"
40991561,..
49862313,"91,9"
99838438,"91,9"
42859669,"88,1"
70923626,"96,8"
92905347,"100,0"
99592025,"97,1"
34247736,"99,2"
47550455,"96,9"
30329172,"100,0"
76877530,"76,5"
47046103,"92,3"
56664512,..
38167912,"100,0"
43826783,..
58125096,"91,0"
82914148,..
20620556,"100,0"
77839100,..
17173461,"95,0"
55535552,.
19560192,"98,1"
30468157,"100,0"
98053087,"70,3"
92533079,"98,0"
61528940,.
23681822,"100,0"
66861851,"100,0"
72206824,.
92858957,"98,8"
46660042,"82,0"
86296935,.
44113417,"95,3"
67783774,..
38917647,..
21363125,..
39555838,"100,0"
85214294,"100,0"
82084961,"80,3"
46162400,"94,5"
98369689,"93,5"
56529916,"95,0"
40810950,"100,0"
67279263,.
40037982,"93,3"
51210136,.
73829818,"99,2"
54395430,.
18881773,"100,0"
50908408,"100,0"
18594470,"100,0"
78295411,"97,4"
80686587,"100,0"
72232853,"100,0"
12279302,"100,0"
17849518,"100,0"
64205087,"95,7"
50500028,"98,2"
94570025,"91,7"
91984508,"93,9"
78659008,"91,7"
12448823,..
40667807,"100,0"
18091973,"93,0"
88466776,"93,3"
36539945,..
40634612,"94,0"
62439199,"95,0"
66132676,"98,9"
57942242,.
80762863,"94,8"
77688926,"100,0"
14508922,..
69629086,"96,5"
88624631,"95,7"
35390185,..
37358234,"88,9"
31657916,"100,0"
21008461,"100,0"
54606928,"99,0"
53893730,"100,0"
46241804,"90,0"
42573391,"100,0"
64574972,"100,0"
19741742,"89,5"
29032715,"100,0"
45830583,"100,0"
48931433,"97,6"
97270136,"96,6"
19909435,"100,0"
30530571,"94,2"
78839208,"100,0"
96024712,"100,0"
30458073,..
40829056,"100,0"
85800840,"100,0"
68920727,"100,0"
27115998,"95,6"
41867682,"100,0"
79516949,"97,2"
65662401,"94,7"
39583059,"89,1"
38645259,"84,4"
96684210,"99,2"
87207941,"100,0"
11673760,"97,2"
46574937,.
23836342,"98,5"
63791419,"75,8"
39805497,"95,2"
38400227,"79,0"
81619482,"100,0"
83829189,"100,0"
46145886,"100,0"
12395564,"100,0"
90006712,.
43649848,"100,0"
75344502,"85,0"
84247499,"98,6"
27041885,"100,0"
39149668,"100,0"
97064126,..
32580162,"95,7"
38233622,.
48722826,"95,3"
73063662,"93,7"
40766349,"100,0"
71571158,"96,9"
53691739,"100,0"
43251309,"100,0"
97596286,"94,0"
67554405,"99,4"
86473502,"92,9"
73944169,"100,0"
98239050,"78,6"
94455820,..
58368956,"92,9"
73567152,"71,4"
61547652,"100,0"
60209222,"77,6"
62104139,"96,8"
87034307,.
78872213,"97,3"
84286698,"96,2"
62490359,"100,0"
64725297,"72,4"
43362941,"82,6"
23350817,..
76860623,"100,0"
58191646,"96,8"
80405898,.
56021320,"100,0"
41358402,"100,0"
63179610,"100,0"
64569393,"97,7"
87262566,"97,6"
64160122,.
48217580,"99,3"
41844601,"100,0"
51620045,"91,7"
86888278,..
23457902,"85,7"
27597104,"100,0"
57397381,"88,1"
56947954,"97,4"
72022487,"88,4"
71512894,"96,9"
70969556,"100,0"
28248021,"95,5"
44417214,"98,0"
25025681,"83,8"
88776535,.
49488344,"92,7"
74408578,"98,8"
71043974,"90,3"
57777751,..
38732602,"91,7"
89807183,.
86724994,"98,8"
61161774,"99,3"
86158933,"94,7"
14102256,"96,3"
75082280,"100,0"
75914181,"90,3"
39302565,"93,5"
96818167,.
36072799,"100,0"
61432781,"90,1"
78287294,"96,3"
74316305,"91,4"
39096170,"100,0"
79527481,.
67300857,.
99279503,"100,0"
63653488,..
84476205,"95,2"
24544503,"97,4"
25392789,"94,8"
72109637,..
69240218,"98,6"
14057258,"100,0"
38460895,"88,9"
31199511,"94,9"
12934438,"98,1"
43313366,"90,7"
86787111,"100,0"
97868185,"93,1"
81551726,"66,7"
77823650,"98,0"
37550979,"100,0"
52634142,"98,9"
76195214,"96,9"
54839753,..
32705515,"90,9"
60214465,"94,6"
70137084,"92,0"
82002016,..
21901328,"100,0"
23306658,"99,1"
57350392,..
97535124,.
11102578,"100,0"
69306209,"100,0"
92651253,"100,0"
31740319,"89,2"
10129345,"100,0"
17944628,"98,5"
82826083,"93,8"
94468610,"94,6"
94090461,"93,6"
12954099,..
80931789,"96,3"
84098842,"100,0"
90473340,"100,0"
26167236,"98,2"
69807202,"98,1"
64648904,"100,0"
75939593,"100,0"
63035915,"79,9"
26324896,"93,5"
56639389,"100,0"
95700485,"100,0"
51449748,"95,7"
28267726,"98,0"
28848709,"90,0"
12613085,"96,2"
53896162,"99,2"
17779637,"95,6"
11185244,"100,0"
56211717,"95,0"
66824652,"94,4"
49168016,"95,5"
32042066,"98,1"
50821167,"100,0"
71929526,"100,0"
92814975,"100,0"
60873719,"100,0"
28085125,"93,8"
28770304,"81,1"
21938183,"97,6"
78986228,.
71472793,"100,0"
64123241,"100,0"
69063711,"97,1"
77609073,"89,1"
35894996,"93,7"
12926770,"94,1"
17119840,"93,9"
68748767,"90,6"
23548714,"95,7"
48593439,"97,7"
91773491,"93,5"
30361243,"99,5"
25596917,"92,2"
65722876,"98,1"
20984584,"100,0"
52129378,"94,9"
65381163,"91,4"
98541468,"94,4"
31155312,"90,0"
25648215,"93,8"
61823258,"87,5"
84424083,"100,0"
39178171,"89,7"
49231191,"95,7"
78231062,"100,0"
79994304,..
10481541,"86,5"
68006362,"99,2"
11608031,"76,5"
86762103,"67,9"
68381790,"91,5"
13006857,"96,8"
76007769,"100,0"
16956086,"92,5"
58187973,"100,0"
88894245,"100,0"
31870541,"97,9"
71160225,"100,0"
67752682,"97,9"
47884009,"90,3"
44672598,"97,2"
75340089,"90,6"
36670439,"88,5"
22220001,"91,5"
31822012,"96,8"
83161201,.
15100079,..
55421481,..
99356671,"88,2"
16702464,"100,0"
71353314,..
29449669,"96,2"
62855448,"100,0"
36252055,"96,2"
91812793,"100,0"
14355031,"78,8"
72891848,"88,1"
46611859,"96,7"
58907711,"98,9"
68285560,"97,3"
58544422,"100,0"
65150019,"94,4"
31796890,..
22426680,"92,3"
83805032,"100,0"
48862305,"77,8"
32887559,"100,0"
71541108,"94,4"
53832505,.
47537928,"82,8"
69471748,"85,7"
49750031,"100,0"
76485705,.
93239262,"100,0"
25745773,"95,7"
99976753,"96,8"
14278480,"77,8"
75575321,"100,0"
28023078,"100,0"
43284031,"94,3"
13963517,"100,0"
24194577,..
26267406,"87,5"
31255918,"98,5"
51955293,"97,4"
57690933,"98,9"
35035671,"88,2"
12130801,"100,0"
51736304,..
53180719,"98,6"
27489137,"100,0"
15609112,"90,0"
44285075,"100,0"
60424371,"82,4"
95785055,"100,0"
68655578,"79,3"
17062663,"98,2"
68741484,"94,8"
56267421,"100,0"
34990065,"94,6"
37054246,"85,7"
39199869,..
62216381,"87,8"
31179045,"94,4"
72421673,"96,6"
15763669,..
59655752,"100,0"
88750078,"97,1"
41878314,..
41555549,"98,8"
32003298,"100,0"
22383788,"91,3"
85459854,"98,1"
81876614,..
18711877,"98,1"
67071618,"100,0"
75324351,"100,0"
61229217,"87,5"
58929357,"100,0"
42517257,"84,4"
70376604,"98,5"
59575030,.
93503103,"86,4"
18617410,"100,0"
41697930,"100,0"
28025244,"97,8"
17184072,"100,0"
40338843,"100,0"
77440824,"100,0"
71069359,"100,0"
86896907,"100,0"
14292382,"100,0"
51981332,.
87859089,"95,8"
54764253,"97,9"
98908403,"94,7"
16493131,"97,1"
41119610,"100,0"
83272868,"94,3"
11526364,"91,2"
48304166,"91,5"
24982097,"94,4"
45552626,"100,0"
50906954,.
97104132,"100,0"
16748680,"100,0"
68597767,"100,0"
27964873,"94,4"
30706655,"85,0"
65674821,"100,0"
92332557,"95,2"
46332927,"100,0"
78690637,"92,9"
24653673,"100,0"
38048202,"94,0"
90990441,"81,3"
86319615,"100,0"
87303004,"100,0"
97835550,"100,0"
22446331,"89,2"
26671095,"100,0"
42911621,"94,8"
40575001,"93,0"
75027822,"93,8"
26508763,"98,7"
14504503,"100,0"
21850904,"100,0"
65320354,.
77544055,"95,6"
49112879,"98,0"
30279258,"98,1"
16198647,"98,6"
12496135,"100,0"
76903284,"84,7"
68649663,"81,1"
43623146,..
49141105,"92,3"
15870428,"91,4"
26646080,"100,0"
26750052,"100,0"
18974693,"99,3"
26996566,..
27704246,.
81997762,"96,7"
28967085,..
69747871,..
70119254,"100,0"
31151740,"100,0"
79346084,"99,4"
34222422,"100,0"
84230226,..
42060237,"70,5"
89816391,"88,7"
14448619,"95,7"
12546590,"90,5"
43565270,"98,8"
77176811,"93,5"
52791537,"100,0"
85152591,"99,0"
85819857,.
40600798,"98,5"
52942981,"97,6"
54117171,.
48120273,"100,0"
33233228,..
94167577,"90,3"
27023528,"91,4"
53903798,"81,6"
85782695,"92,3"
98815582,"92,0"
97770837,"93,2"
21312503,"97,4"
69650864,"100,0"
59581397,"100,0"
14926020,"94,7"
41938272,"100,0"
29423248,"98,0"
76054399,.
33132452,"91,0"
56942970,..
60142020,.
70811222,..
17911161,"82,1"
35084976,"100,0"
25525759,.
77632411,"98,8"
56653353,"97,9"
49068301,"100,0"
59898194,"96,1"
38195284,"97,3"
97510495,"89,8"
89461767,"96,6"
94717858,"96,5"
53760158,"100,0"
78422467,"94,6"
37802196,.
38683336,..
36288955,"100,0"
74812809,"96,7"
88839172,"100,0"
48412612,"98,6"
95618280,"80,0"
75075402,"98,2"
26326048,"96,7"
37839488,"91,1"
46256929,"100,0"
83374651,"100,0"
59796774,..
17675502,"92,1"
75600007,"95,8"
73812226,"98,2"
30762346,..
82964090,.
88955893,"100,0"
15278518,"97,2"
15390992,"96,4"
63943560,"100,0"
85516596,"89,7"
31998226,..
38236800,"60,4"
16784385,"96,3"
59026584,"97,1"
79829846,"95,2"
89963319,..
24339566,"99,2"
20061769,"91,7"
65458415,..
95154882,"92,9"
52333875,"90,3"
24663703,..
28519815,"91,5"
65666808,"75,8"
69543519,..
24397215,"97,7"
30677562,"83,8"
85054102,"76,2"
87274273,"100,0"
89693952,.
24759907,"82,5"
78433202,.
41631104,..
35366805,"94,6"
31315191,"97,1"
80357110,"82,6"
42775003,"98,7"
56670842,.
89370947,"97,5"
18451445,..
48555205,"97,7"
31313926,.
30312720,.
32116280,"100,0"
57143976,"98,7"
93367005,"89,2"
53175499,..
64388538,"100,0"
52153758,"100,0"
16501673,"81,6"
26298615,"82,6"
22116645,..
99755443,"99,6"
30167976,"100,0"
50104466,..
28004794,..
32071849,"100,0"
79845033,"94,4"
41099519,"100,0"
59386837,"92,5"
21627442,"94,5"
17276047,"96,3"
73217812,"89,5"
21382451,"100,0"
48244956,"84,8"
36769815,"100,0"
16931486,"100,0"
92489953,"100,0"
43873969,"100,0"
