program,skolkod,andel_minst_e_re1
Nationella program,93221031,"86,1"
Nationella program,17474377,"100,0"
Nationella program,74776778,"100,0"
Nationella program,18345915,"97,7"
Nationella program,68229719,"100,0"
Nationella program,61004230,"96,7"
Nationella program,71262305,"100,0"
Nationella program,55795961,"100,0"
Nationella program,84947634,"100,0"
Nationella program,23517336,"100,0"
Nationella program,48009865,"99,1"
Nationella program,97870412,"95,2"
Nationella program,68564903,"94,6"
Nationella program,82840198,"95,7"
Nationella program,18208087,"83,6"
Nationella program,89982804,"100,0"
Nationella program,19464342,"96,3"
Nationella program,60743463,"100,0"
Nationella program,32960825,"100,0"
Nationella program,43609520,"100,0"
Nationella program,41416934,"94,4"
Nationella program,97968599,"100,0"
Nationella program,21567982,"93,3"
Nationella program,91748148,"95,4"
Nationella program,49379603,..
Nationella program,80167319,..
Nationella program,42218661,"100,0"
Nationella program,73171934,..
Nationella program,83474173,"76,1"
Nationella program,91487291,..
Nationella program,21866405,"94,9"
Nationella program,74434644,"96,6"
Nationella program,42022406,"88,9"
Nationella program,88445871,"97,1"
Nationella program,65192707,"97,8"
Nationella program,18425335,"91,7"
Nationella program,93281974,"95,6"
Nationella program,23424275,"95,0"
Nationella program,43634528,"99,2"
Nationella program,36263479,"100,0"
Nationella program,56679384,"97,4"
Nationella program,30538202,"100,0"
Nationella program,19150273,"90,0"
Nationella program,69018222,"65,8"
Nationella program,25624692,"94,7"
Nationella program,88534520,"96,9"
Nationella program,12889940,"98,1"
Nationella program,16554575,"88,9"
Nationella program,34076477,"97,3"
Nationella program,54896448,"100,0"
Nationella program,25356960,"79,7"
Nationella program,64284020,"98,6"
Nationella program,98132436,"93,5"
Nationella program,53400472,"95,0"
Nationella program,60096875,"92,3"
Nationella program,97758137,"93,3"
Nationella program,26334561,"96,4"
Nationella program,40386043,"88,1"
Nationella program,29324709,"100,0"
Nationella program,26864271,"100,0"
Nationella program,59483268,"97,9"
Nationella program,33685428,"97,0"
Nationella program,32879845,"100,0"
Nationella program,88573795,"100,0"
Nationella program,20699742,"95,6"
Nationella program,21663998,"98,2"
Nationella program,20595770,"97,1"
Nationella program,82814120,"94,7"
Nationella program,45164827,"100,0"
Nationella program,10924758,"87,5"
Nationella program,34153869,"97,5"
Nationella program,88259298,"95,5"
Nationella program,73098153,"91,7"
Nationella program,44240250,"91,9"
Nationella program,17846181,"97,4"
Nationella program,75082798,"88,0"
Nationella program,23555409,"96,5"
Nationella program,91333138,"100,0"
Nationella program,30341162,"97,1"
Nationella program,39936461,"96,3"
Nationella program,72266906,"93,7"
Nationella program,27030026,"93,8"
Nationella program,12154972,"80,8"
Nationella program,16950252,"100,0"
Nationella program,34637764,"94,4"
Nationella program,19912478,"97,2"
Nationella program,73255276,"100,0"
Nationella program,15077883,"89,7"
Nationella program,48434184,"81,7"
Nationella program,58724424,"89,7"
Nationella program,95684185,"98,5"
Nationella program,51138448,"100,0"
Nationella program,19647256,"93,2"
Nationella program,56421429,"94,0"
Nationella program,39911065,"98,4"
Nationella program,17008320,"100,0"
Nationella program,56737496,"100,0"
Nationella program,88850910,"100,0"
Nationella program,93939982,"95,0"
Nationella program,25720752,"99,0"
Nationella program,55155562,"86,6"
Nationella program,31533003,"97,4"
Nationella program,31429031,"97,7"
Nationella program,16361868,..
Nationella program,23164911,"97,0"
Nationella program,24008049,"93,0"
Nationella program,19981611,"94,7"
Nationella program,54481243,"100,0"
Nationella program,36680097,"88,2"
Nationella program,87756916,"94,7"
Nationella program,59734510,"94,1"
Nationella program,19586169,"92,6"
Nationella program,24273261,"100,0"
Nationella program,95683850,"100,0"
Nationella program,59455288,"84,2"
Nationella program,82163292,"87,0"
Nationella program,25679488,"93,2"
Nationella program,25677996,"94,2"
Nationella program,89888648,"94,0"
Nationella program,90003262,"100,0"
Nationella program,88163512,"75,8"
Nationella program,35063170,"84,7"
Nationella program,31279294,"83,7"
Nationella program,36782335,"98,3"
Nationella program,23897040,..
Nationella program,20666515,"98,1"
Nationella program,37906565,"100,0"
Nationella program,67279303,"97,8"
Nationella program,21648755,"88,9"
Nationella program,11111710,"100,0"
Nationella program,90551279,"96,8"
Nationella program,93062368,..
Nationella program,69686851,"95,6"
Nationella program,49616977,"98,5"
Nationella program,54965510,"99,0"
Nationella program,90267145,"88,4"
Nationella program,72998905,"96,2"
Nationella program,84835666,"98,2"
Nationella program,25872338,..
Nationella program,54164490,"100,0"
Nationella program,69481650,"89,5"
Nationella program,20319353,"88,2"
Nationella program,92194545,"98,4"
Nationella program,88153340,"95,0"
Nationella program,94353434,"75,4"
Nationella program,59396229,"86,4"
