program,skolkod,andel_minst_e_sam1
Nationella program,93221031,"94,4"
Nationella program,17474377,"94,4"
Nationella program,74776778,"100,0"
Nationella program,18345915,"97,7"
Nationella program,68229719,"100,0"
Nationella program,61004230,"96,7"
Nationella program,71262305,"100,0"
Nationella program,55795961,"100,0"
Nationella program,84947634,"100,0"
Nationella program,23517336,"100,0"
Nationella program,48009865,"98,3"
Nationella program,97870412,"95,2"
Nationella program,68564903,"100,0"
Nationella program,82840198,"98,6"
Nationella program,18208087,"98,6"
Nationella program,89982804,"100,0"
Nationella program,19464342,"100,0"
Nationella program,60743463,"100,0"
Nationella program,32960825,"97,3"
Nationella program,43609520,"100,0"
Nationella program,41416934,"90,3"
Nationella program,97968599,"100,0"
Nationella program,21567982,"100,0"
Nationella program,91748148,"98,9"
Nationella program,49379603,..
Nationella program,80167319,..
Nationella program,42218661,"93,9"
Nationella program,73171934,..
Nationella program,83474173,"80,4"
Nationella program,91487291,..
Nationella program,21866405,"97,4"
Nationella program,74434644,"96,6"
Nationella program,42022406,"96,3"
Nationella program,88445871,"93,2"
Nationella program,65192707,"100,0"
Nationella program,18425335,"95,2"
Nationella program,93281974,"93,3"
Nationella program,23424275,"98,3"
Nationella program,43634528,"100,0"
Nationella program,36263479,"100,0"
Nationella program,56679384,"96,2"
Nationella program,30538202,"100,0"
Nationella program,19150273,"93,3"
Nationella program,69018222,"98,7"
Nationella program,25624692,"84,2"
Nationella program,88534520,"93,8"
Nationella program,12889940,"100,0"
Nationella program,16554575,"100,0"
Nationella program,34076477,"99,3"
Nationella program,54896448,"100,0"
Nationella program,25356960,"73,0"
Nationella program,64284020,"91,5"
Nationella program,98132436,"89,6"
Nationella program,53400472,"100,0"
Nationella program,60096875,"88,5"
Nationella program,97758137,"95,0"
Nationella program,26334561,"99,5"
Nationella program,40386043,"95,5"
Nationella program,29324709,"100,0"
Nationella program,26864271,"88,2"
Nationella program,59483268,"100,0"
Nationella program,33685428,"100,0"
Nationella program,32879845,"100,0"
Nationella program,88573795,"100,0"
Nationella program,20699742,"100,0"
Nationella program,21663998,"96,3"
Nationella program,20595770,"99,0"
Nationella program,82814120,"96,7"
Nationella program,45164827,"100,0"
Nationella program,10924758,"100,0"
Nationella program,34153869,"100,0"
Nationella program,88259298,"100,0"
Nationella program,73098153,"100,0"
Nationella program,44240250,"94,6"
Nationella program,17846181,"100,0"
Nationella program,75082798,"95,4"
Nationella program,23555409,"100,0"
Nationella program,91333138,"92,3"
Nationella program,30341162,"100,0"
Nationella program,39936461,"100,0"
Nationella program,72266906,"96,1"
Nationella program,27030026,"99,0"
Nationella program,12154972,"82,1"
Nationella program,16950252,"100,0"
Nationella program,34637764,"96,0"
Nationella program,19912478,"97,2"
Nationella program,73255276,"100,0"
Nationella program,15077883,"92,8"
Nationella program,48434184,"91,7"
Nationella program,58724424,"100,0"
Nationella program,95684185,"98,5"
Nationella program,51138448,"100,0"
Nationella program,19647256,"100,0"
Nationella program,56421429,"100,0"
Nationella program,39911065,"96,8"
Nationella program,17008320,"100,0"
Nationella program,56737496,"98,7"
Nationella program,88850910,"93,3"
Nationella program,93939982,"96,3"
Nationella program,25720752,"100,0"
Nationella program,55155562,"95,2"
Nationella program,31533003,"100,0"
Nationella program,31429031,"100,0"
Nationella program,16361868,..
Nationella program,23164911,"99,2"
Nationella program,24008049,"100,0"
Nationella program,19981611,"100,0"
Nationella program,54481243,"100,0"
Nationella program,36680097,"76,5"
Nationella program,87756916,"94,7"
Nationella program,59734510,"94,1"
Nationella program,19586169,"86,8"
Nationella program,24273261,"100,0"
Nationella program,95683850,"99,2"
Nationella program,59455288,"100,0"
Nationella program,82163292,"94,4"
Nationella program,25679488,"94,3"
Nationella program,25677996,"96,2"
Nationella program,89888648,"92,8"
Nationella program,90003262,"100,0"
Nationella program,88163512,"81,8"
Nationella program,35063170,"100,0"
Nationella program,31279294,"97,7"
Nationella program,36782335,"97,8"
Nationella program,23897040,..
Nationella program,20666515,"100,0"
Nationella program,37906565,"100,0"
Nationella program,67279303,"97,8"
Nationella program,21648755,"95,3"
Nationella program,11111710,"92,3"
Nationella program,90551279,"93,3"
Nationella program,93062368,"68,8"
Nationella program,69686851,"97,3"
Nationella program,49616977,"100,0"
Nationella program,54965510,"99,3"
Nationella program,90267145,"100,0"
Nationella program,72998905,"92,3"
Nationella program,84835666,"90,9"
Nationella program,25872338,..
Nationella program,54164490,"92,0"
Nationella program,69481650,"94,7"
Nationella program,20319353,"95,6"
Nationella program,92194545,"98,4"
Nationella program,88153340,"87,5"
Nationella program,94353434,"77,2"
Nationella program,59396229,"90,9"
Nationella program,95165649,"100,0"
Nationella program,64740897,..
Nationella program,78979604,..
Nationella program,69626109,"93,0"
Nationella program,10974852,..
Nationella program,85068812,"75,8"
Nationella program,78397312,"99,5"
Nationella program,36444853,"94,6"
Nationella program,15414001,"87,3"
Nationella program,38311488,"96,9"
Nationella program,16819383,"98,2"
Nationella program,89837629,"100,0"
Nationella program,12994441,"96,9"
Nationella program,53660780,"99,0"
Nationella program,88774402,"100,0"
Nationella program,75141151,"98,8"
Nationella program,61701709,"100,0"
Nationella program,61469192,"96,8"
Nationella program,84306392,"100,0"
Nationella program,28627819,"100,0"
Nationella program,30086854,"100,0"
Nationella program,26627862,"97,9"
Nationella program,48847282,"97,8"
Nationella program,72517762,"92,3"
Nationella program,79094701,"100,0"
Nationella program,38684438,"94,4"
Nationella program,31251822,"95,2"
Nationella program,90099336,..
Nationella program,96590873,"95,3"
Nationella program,35647481,"94,6"
Nationella program,39549479,"96,4"
Nationella program,73147554,"100,0"
Nationella program,65752105,..
Nationella program,69983740,"100,0"
Nationella program,66491596,"100,0"
Nationella program,12052268,"96,3"
Nationella program,71597051,"100,0"
Nationella program,53231578,"100,0"
Nationella program,11274830,"88,9"
Nationella program,51321260,"87,9"
Nationella program,96279444,"97,2"
Nationella program,40690520,"100,0"
Nationella program,61880907,"97,6"
Nationella program,91011325,"93,3"
Nationella program,97382366,"94,9"
Nationella program,35006050,"96,4"
Nationella program,88886610,"92,6"
Nationella program,10638939,"83,6"
Nationella program,21505555,"99,2"
Nationella program,34336190,"100,0"
Nationella program,21052710,"100,0"
Nationella program,88556189,"38,8"
Nationella program,35236491,"98,4"
Nationella program,69739484,"93,0"
Nationella program,92887917,"97,4"
Nationella program,88834120,"100,0"
Nationella program,70066748,"97,4"
Nationella program,19207279,"100,0"
Nationella program,53640774,"99,2"
Nationella program,58502307,"96,7"
Nationella program,97177328,"98,0"
Nationella program,72127035,"100,0"
Nationella program,70969714,"100,0"
Nationella program,85003442,"100,0"
Nationella program,22752398,"92,5"
Nationella program,68734112,"100,0"
Nationella program,71922787,"98,1"
Nationella program,31843016,"97,1"
Nationella program,74148070,"100,0"
Nationella program,50696507,"100,0"
Nationella program,92507006,"99,0"
