skolkod,andel_minst_e_sam1
93221031,"94,4"
17474377,"94,4"
74776778,"100,0"
18345915,"97,7"
68229719,"100,0"
61004230,"96,7"
71262305,"100,0"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"98,3"
97870412,"95,2"
68564903,"100,0"
82840198,"98,6"
18208087,"98,6"
89982804,"100,0"
19464342,"100,0"
60743463,"100,0"
32960825,"97,3"
43609520,"100,0"
41416934,"90,3"
97968599,"100,0"
21567982,"100,0"
91748148,"98,9"
49379603,..
80167319,..
42218661,"93,9"
73171934,..
83474173,"80,4"
91487291,..
21866405,"97,4"
74434644,"96,6"
42022406,"96,3"
88445871,"93,2"
65192707,"100,0"
18425335,"95,2"
93281974,"93,3"
23424275,"98,3"
43634528,"100,0"
36263479,"100,0"
56679384,"96,2"
30538202,"100,0"
19150273,"93,3"
69018222,"98,7"
25624692,"84,2"
88534520,"93,8"
12889940,"100,0"
16554575,"100,0"
34076477,"99,3"
54896448,"100,0"
25356960,"73,0"
64284020,"91,5"
98132436,"89,6"
53400472,"100,0"
60096875,"88,5"
97758137,"95,0"
26334561,"99,5"
40386043,"95,5"
29324709,"100,0"
26864271,"88,2"
59483268,"100,0"
33685428,"100,0"
32879845,"100,0"
88573795,"100,0"
20699742,"100,0"
21663998,"96,3"
20595770,"99,0"
82814120,"96,7"
45164827,"100,0"
10924758,"100,0"
34153869,"100,0"
88259298,"100,0"
73098153,"100,0"
44240250,"94,6"
17846181,"100,0"
75082798,"95,4"
23555409,"100,0"
91333138,"92,3"
30341162,"100,0"
39936461,"100,0"
72266906,"96,1"
27030026,"99,0"
12154972,"82,1"
16950252,"100,0"
34637764,"96,0"
19912478,"97,2"
73255276,"100,0"
15077883,"92,8"
48434184,"91,7"
58724424,"100,0"
95684185,"98,5"
51138448,"100,0"
19647256,"100,0"
56421429,"100,0"
39911065,"96,8"
17008320,"100,0"
56737496,"98,7"
88850910,"93,3"
93939982,"96,3"
25720752,"100,0"
55155562,"95,2"
31533003,"100,0"
31429031,"100,0"
16361868,..
23164911,"99,2"
24008049,"100,0"
19981611,"100,0"
54481243,"100,0"
36680097,"76,5"
87756916,"94,7"
59734510,"94,1"
19586169,"86,8"
24273261,"100,0"
95683850,"99,2"
59455288,"100,0"
82163292,"94,4"
25679488,"94,3"
25677996,"96,2"
89888648,"92,8"
90003262,"100,0"
88163512,"81,8"
35063170,"100,0"
31279294,"97,7"
36782335,"97,8"
23897040,..
20666515,"100,0"
37906565,"100,0"
67279303,"97,8"
21648755,"95,3"
11111710,"92,3"
90551279,"93,3"
93062368,"68,8"
69686851,"97,3"
49616977,"100,0"
54965510,"99,3"
90267145,"100,0"
72998905,"92,3"
84835666,"90,9"
25872338,..
54164490,"92,0"
69481650,"94,7"
20319353,"95,6"
92194545,"98,4"
88153340,"87,5"
94353434,"77,2"
59396229,"90,9"
95165649,"100,0"
64740897,..
78979604,..
69626109,"93,0"
10974852,..
85068812,"75,8"
78397312,"99,5"
36444853,"94,6"
15414001,"87,3"
38311488,"96,9"
16819383,"98,2"
89837629,"100,0"
12994441,"96,9"
53660780,"99,0"
88774402,"100,0"
75141151,"98,8"
61701709,"100,0"
61469192,"96,8"
84306392,"100,0"
28627819,"100,0"
30086854,"100,0"
26627862,"97,9"
48847282,"97,8"
72517762,"92,3"
79094701,"100,0"
38684438,"94,4"
31251822,"95,2"
90099336,..
96590873,"95,3"
35647481,"94,6"
39549479,"96,4"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
