skolkod,andel_minst_e_sv1
93221031,"94,4"
17474377,"100,0"
74776778,"100,0"
18345915,"100,0"
68229719,"100,0"
61004230,"100,0"
71262305,"100,0"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"100,0"
97870412,"100,0"
68564903,"100,0"
82840198,"100,0"
18208087,"100,0"
89982804,"100,0"
19464342,"100,0"
60743463,"100,0"
32960825,"100,0"
43609520,"100,0"
41416934,"100,0"
97968599,"97,8"
21567982,"100,0"
91748148,"98,8"
49379603,..
80167319,..
42218661,"100,0"
73171934,..
83474173,"94,9"
91487291,..
21866405,"100,0"
74434644,"100,0"
42022406,"98,5"
88445871,"99,0"
65192707,"100,0"
18425335,"97,5"
93281974,"100,0"
23424275,"100,0"
43634528,"100,0"
36263479,"100,0"
56679384,"100,0"
30538202,"100,0"
19150273,"100,0"
69018222,"98,7"
25624692,"100,0"
88534520,"100,0"
12889940,"100,0"
16554575,"100,0"
34076477,"100,0"
54896448,"100,0"
25356960,"100,0"
64284020,"100,0"
98132436,"97,4"
53400472,"100,0"
60096875,"100,0"
97758137,"100,0"
26334561,"100,0"
40386043,"99,2"
29324709,"100,0"
26864271,"100,0"
59483268,"100,0"
33685428,"100,0"
32879845,"100,0"
88573795,"100,0"
20699742,"100,0"
21663998,"100,0"
20595770,"100,0"
82814120,"100,0"
45164827,"100,0"
10924758,"100,0"
34153869,"100,0"
88259298,"100,0"
73098153,"100,0"
44240250,"97,3"
17846181,"96,9"
75082798,"99,1"
23555409,"99,2"
91333138,"100,0"
30341162,"100,0"
39936461,"100,0"
72266906,"100,0"
27030026,"100,0"
12154972,"100,0"
16950252,"99,1"
34637764,"100,0"
19912478,"99,0"
73255276,"100,0"
15077883,"100,0"
48434184,"96,8"
58724424,"100,0"
95684185,"100,0"
51138448,"100,0"
19647256,"95,1"
56421429,"100,0"
39911065,"100,0"
17008320,"98,5"
56737496,"100,0"
88850910,"100,0"
93939982,"100,0"
25720752,"100,0"
55155562,"100,0"
31533003,"100,0"
31429031,"100,0"
16361868,..
23164911,"100,0"
24008049,"100,0"
19981611,"100,0"
54481243,"100,0"
36680097,"100,0"
87756916,"96,8"
59734510,"97,1"
19586169,"100,0"
24273261,"100,0"
95683850,"100,0"
59455288,"96,3"
82163292,"96,3"
25679488,"100,0"
25677996,"100,0"
89888648,"100,0"
90003262,"100,0"
88163512,"84,8"
35063170,"100,0"
31279294,"100,0"
36782335,"99,4"
23897040,..
20666515,"100,0"
37906565,"100,0"
67279303,"97,8"
21648755,"99,1"
11111710,"100,0"
90551279,"99,6"
93062368,"93,3"
69686851,"100,0"
49616977,"98,4"
54965510,"100,0"
90267145,"100,0"
72998905,..
84835666,..
25872338,..
54164490,..
69481650,"100,0"
20319353,"93,8"
92194545,"100,0"
88153340,"100,0"
94353434,"100,0"
59396229,"98,2"
95165649,"98,0"
64740897,..
78979604,..
69626109,"93,8"
10974852,..
85068812,"100,0"
78397312,"100,0"
36444853,"100,0"
15414001,"97,9"
38311488,"100,0"
16819383,"90,9"
89837629,"100,0"
12994441,"100,0"
53660780,"100,0"
88774402,"100,0"
75141151,"100,0"
61701709,"100,0"
61469192,"100,0"
84306392,"100,0"
28627819,"100,0"
30086854,"97,5"
26627862,"100,0"
48847282,"98,9"
72517762,"92,3"
79094701,"100,0"
38684438,"100,0"
31251822,"98,9"
90099336,..
96590873,"98,6"
35647481,"100,0"
39549479,"100,0"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
12052268,"100,0"
71597051,"100,0"
53231578,"100,0"
11274830,"98,6"
51321260,"97,7"
96279444,"100,0"
40690520,"100,0"
61880907,"98,6"
91011325,"92,9"
97382366,"100,0"
35006050,"100,0"
88886610,"95,7"
10638939,"92,6"
21505555,"100,0"
34336190,"100,0"
21052710,"100,0"
88556189,"95,7"
35236491,"96,7"
69739484,"95,7"
92887917,"100,0"
88834120,"100,0"
70066748,"97,3"
19207279,"100,0"
53640774,"100,0"
58502307,"100,0"
97177328,"100,0"
72127035,"100,0"
70969714,"96,1"
85003442,"100,0"
22752398,"100,0"
68734112,"100,0"
71922787,"98,0"
31843016,"96,9"
74148070,"100,0"
50696507,"100,0"
92507006,"100,0"
