program,skolkod,andel_minst_e_sva1
nationella program,93221031,.
nationella program,17474377,.
nationella program,74776778,..
nationella program,18345915,..
nationella program,68229719,..
nationella program,61004230,..
nationella program,71262305,..
nationella program,55795961,..
nationella program,84947634,..
nationella program,23517336,..
nationella program,48009865,"100,0"
nationella program,97870412,..
nationella program,68564903,..
nationella program,82840198,"100,0"
nationella program,18208087,"100,0"
nationella program,89982804,..
nationella program,19464342,..
nationella program,60743463,..
nationella program,32960825,..
nationella program,43609520,.
nationella program,41416934,..
nationella program,97968599,..
nationella program,21567982,.
nationella program,91748148,..
nationella program,49379603,.
nationella program,80167319,.
nationella program,42218661,..
nationella program,73171934,.
nationella program,83474173,..
nationella program,91487291,.
nationella program,21866405,..
nationella program,74434644,"100,0"
nationella program,42022406,"92,3"
nationella program,88445871,..
nationella program,65192707,..
nationella program,18425335,..
nationella program,93281974,..
nationella program,23424275,..
nationella program,43634528,"100,0"
nationella program,36263479,..
nationella program,56679384,..
nationella program,30538202,..
nationella program,19150273,..
nationella program,69018222,..
nationella program,25624692,..
nationella program,88534520,..
nationella program,12889940,..
nationella program,16554575,..
nationella program,34076477,..
nationella program,54896448,.
nationella program,25356960,..
nationella program,64284020,..
nationella program,98132436,..
nationella program,53400472,"100,0"
nationella program,60096875,..
nationella program,97758137,"96,9"
nationella program,26334561,"100,0"
nationella program,40386043,"100,0"
nationella program,29324709,.
nationella program,26864271,..
nationella program,59483268,"100,0"
nationella program,33685428,.
nationella program,32879845,.
nationella program,88573795,..
nationella program,20699742,.
nationella program,21663998,..
nationella program,20595770,.
nationella program,82814120,.
nationella program,45164827,.
nationella program,10924758,..
nationella program,34153869,..
nationella program,88259298,.
nationella program,73098153,..
nationella program,44240250,.
nationella program,17846181,..
nationella program,75082798,"90,0"
nationella program,23555409,"100,0"
nationella program,91333138,.
nationella program,30341162,..
nationella program,39936461,.
nationella program,72266906,"100,0"
nationella program,27030026,..
nationella program,12154972,..
nationella program,16950252,"91,7"
nationella program,34637764,"100,0"
nationella program,19912478,..
nationella program,73255276,..
nationella program,15077883,..
nationella program,48434184,"100,0"
nationella program,58724424,..
nationella program,95684185,..
nationella program,51138448,..
nationella program,19647256,..
nationella program,56421429,..
nationella program,39911065,..
nationella program,17008320,..
nationella program,56737496,.
nationella program,88850910,..
nationella program,93939982,..
nationella program,25720752,..
nationella program,55155562,"100,0"
nationella program,31533003,"100,0"
nationella program,31429031,..
nationella program,16361868,.
nationella program,23164911,..
nationella program,24008049,"100,0"
nationella program,19981611,..
nationella program,54481243,.
nationella program,36680097,..
nationella program,87756916,..
nationella program,59734510,.
nationella program,19586169,..
nationella program,24273261,..
nationella program,95683850,..
nationella program,59455288,"100,0"
nationella program,82163292,.
nationella program,25679488,..
nationella program,25677996,..
nationella program,89888648,..
nationella program,90003262,.
nationella program,88163512,.
nationella program,35063170,..
nationella program,31279294,..
nationella program,36782335,..
nationella program,23897040,.
nationella program,20666515,..
nationella program,37906565,.
nationella program,67279303,.
nationella program,21648755,"100,0"
nationella program,11111710,..
nationella program,90551279,"100,0"
nationella program,93062368,..
nationella program,69686851,..
nationella program,49616977,..
nationella program,54965510,"100,0"
nationella program,90267145,..
nationella program,72998905,"100,0"
nationella program,84835666,"97,9"
nationella program,25872338,.
nationella program,54164490,"100,0"
nationella program,69481650,..
nationella program,20319353,..
nationella program,92194545,..
nationella program,88153340,..
nationella program,94353434,..
nationella program,59396229,"100,0"
nationella program,95165649,..
nationella program,64740897,..
nationella program,78979604,.
nationella program,69626109,"100,0"
nationella program,10974852,.
nationella program,85068812,"100,0"
nationella program,78397312,..
nationella program,36444853,.
nationella program,15414001,..
nationella program,38311488,.
nationella program,16819383,"93,5"
nationella program,89837629,"100,0"
nationella program,12994441,.
nationella program,53660780,.
nationella program,88774402,..
nationella program,75141151,"100,0"
nationella program,61701709,..
nationella program,61469192,..
nationella program,84306392,..
nationella program,28627819,..
nationella program,30086854,.
nationella program,26627862,"100,0"
nationella program,48847282,..
nationella program,72517762,"100,0"
nationella program,79094701,..
nationella program,38684438,"100,0"
nationella program,31251822,"100,0"
nationella program,90099336,.
nationella program,96590873,"100,0"
