skolkod,andel_minst_e_sva1
93221031,.
17474377,.
74776778,..
18345915,..
68229719,..
61004230,..
71262305,..
55795961,..
84947634,..
23517336,..
48009865,"100,0"
97870412,..
68564903,..
82840198,"100,0"
18208087,"100,0"
89982804,..
19464342,..
60743463,..
32960825,..
43609520,.
41416934,..
97968599,..
21567982,.
91748148,..
49379603,.
80167319,.
42218661,..
73171934,.
83474173,..
91487291,.
21866405,..
74434644,"100,0"
42022406,"92,3"
88445871,..
65192707,..
18425335,..
93281974,..
23424275,..
43634528,"100,0"
36263479,..
56679384,..
30538202,..
19150273,..
69018222,..
25624692,..
88534520,..
12889940,..
16554575,..
34076477,..
54896448,.
25356960,..
64284020,..
98132436,..
53400472,"100,0"
60096875,..
97758137,"96,9"
26334561,"100,0"
40386043,"100,0"
29324709,.
26864271,..
59483268,"100,0"
33685428,.
32879845,.
88573795,..
20699742,.
21663998,..
20595770,.
82814120,.
45164827,.
10924758,..
34153869,..
88259298,.
73098153,..
44240250,.
17846181,..
75082798,"90,0"
23555409,"100,0"
91333138,.
30341162,..
39936461,.
72266906,"100,0"
27030026,..
12154972,..
16950252,"91,7"
34637764,"100,0"
19912478,..
73255276,..
15077883,..
48434184,"100,0"
58724424,..
95684185,..
51138448,..
19647256,..
56421429,..
39911065,..
17008320,..
56737496,.
88850910,..
93939982,..
25720752,..
55155562,"100,0"
31533003,"100,0"
31429031,..
16361868,.
23164911,..
24008049,"100,0"
19981611,..
54481243,.
36680097,..
87756916,..
59734510,.
19586169,..
24273261,..
95683850,..
59455288,"100,0"
82163292,.
25679488,..
25677996,..
89888648,..
90003262,.
88163512,.
35063170,..
31279294,..
36782335,..
23897040,.
20666515,..
37906565,.
67279303,.
21648755,"100,0"
11111710,..
90551279,"100,0"
93062368,..
69686851,..
49616977,..
54965510,"100,0"
90267145,..
72998905,"100,0"
84835666,"97,9"
25872338,.
54164490,"100,0"
69481650,..
20319353,..
92194545,..
88153340,..
94353434,..
59396229,"100,0"
95165649,..
64740897,..
78979604,.
69626109,"100,0"
10974852,.
85068812,"100,0"
78397312,..
36444853,.
15414001,..
38311488,.
16819383,"93,5"
89837629,"100,0"
12994441,.
53660780,.
88774402,..
75141151,"100,0"
61701709,..
61469192,..
84306392,..
28627819,..
30086854,.
26627862,"100,0"
48847282,..
72517762,"100,0"
79094701,..
38684438,"100,0"
31251822,"100,0"
90099336,.
96590873,"100,0"
35647481,"100,0"
39549479,..
73147554,.
65752105,.
69983740,.
66491596,.
12052268,"95,8"
71597051,..
53231578,.
11274830,..
51321260,"100,0"
96279444,..
40690520,"100,0"
61880907,"100,0"
91011325,..
97382366,.
35006050,..
88886610,..
10638939,..
21505555,..
34336190,.
21052710,..
88556189,..
35236491,..
69739484,..
92887917,..
88834120,..
70066748,..
19207279,.
53640774,.
58502307,.
97177328,..
72127035,..
70969714,..
85003442,..
22752398,..
68734112,..
71922787,..
31843016,..
74148070,..
50696507,.
92507006,..
44653962,..
20100577,..
81993306,..
19051089,..
29097621,..
47264019,..
87764775,..
50198492,..
48438396,"100,0"
98052678,..
20099064,..
44341171,..
32671805,..
38448056,.
16313848,"100,0"
79606767,..
11294673,..
86327236,..
41745951,.
83137205,"100,0"
28398531,"100,0"
66335258,..
54172830,"100,0"
86310217,.
83085136,..
75458014,.
65136104,.
61826221,.
79033948,..
56330385,"100,0"
20228162,..
68240485,..
95046058,.
44392995,"100,0"
53462953,"100,0"
69241230,..
60730660,.
85544331,.
80327946,"100,0"
82592568,..
78875918,"100,0"
78023197,"100,0"
86385479,..
40991561,..
49862313,"100,0"
99838438,..
42859669,"100,0"
70923626,"92,3"
92905347,..
99592025,"100,0"
34247736,..
47550455,"100,0"
30329172,..
76877530,.
47046103,..
56664512,.
38167912,.
43826783,.
58125096,..
82914148,..
20620556,..
77839100,.
17173461,..
55535552,.
19560192,..
30468157,..
98053087,..
92533079,..
61528940,..
23681822,.
66861851,.
72206824,..
92858957,"100,0"
46660042,"92,9"
86296935,..
44113417,..
67783774,..
38917647,.
21363125,.
39555838,..
