program,skolkod,antal_elever
nationella program,93221031,36
nationella program,17474377,18
nationella program,74776778,56
nationella program,18345915,87
nationella program,68229719,74
nationella program,61004230,60
nationella program,71262305,86
nationella program,55795961,19
nationella program,84947634,48
nationella program,23517336,12
nationella program,48009865,115
nationella program,97870412,42
nationella program,68564903,56
nationella program,82840198,69
nationella program,18208087,73
nationella program,89982804,32
nationella program,19464342,27
nationella program,60743463,14
nationella program,32960825,73
nationella program,43609520,22
nationella program,41416934,72
nationella program,97968599,51
nationella program,21567982,15
nationella program,91748148,87
nationella program,49379603,..
nationella program,80167319,..
nationella program,42218661,40
nationella program,73171934,..
nationella program,83474173,46
nationella program,91487291,..
nationella program,21866405,39
nationella program,74434644,178
nationella program,42022406,81
nationella program,88445871,103
nationella program,65192707,138
nationella program,18425335,84
nationella program,93281974,45
nationella program,23424275,60
nationella program,43634528,131
nationella program,36263479,152
nationella program,56679384,78
nationella program,30538202,28
nationella program,19150273,30
nationella program,69018222,76
nationella program,25624692,19
nationella program,88534520,32
nationella program,12889940,108
nationella program,16554575,44
nationella program,34076477,149
nationella program,54896448,20
nationella program,25356960,74
nationella program,64284020,71
nationella program,98132436,77
nationella program,53400472,20
nationella program,60096875,26
nationella program,97758137,60
nationella program,26334561,197
nationella program,40386043,310
nationella program,29324709,11
nationella program,26864271,17
nationella program,59483268,47
nationella program,33685428,33
nationella program,32879845,13
nationella program,88573795,15
nationella program,20699742,135
nationella program,21663998,109
nationella program,20595770,105
nationella program,82814120,152
nationella program,45164827,178
nationella program,10924758,56
nationella program,34153869,81
nationella program,88259298,22
nationella program,73098153,12
nationella program,44240250,37
nationella program,17846181,38
nationella program,75082798,241
nationella program,23555409,144
nationella program,91333138,26
nationella program,30341162,35
nationella program,39936461,27
nationella program,72266906,127
nationella program,27030026,97
nationella program,12154972,78
nationella program,16950252,123
nationella program,34637764,124
nationella program,19912478,144
nationella program,73255276,28
nationella program,15077883,97
nationella program,48434184,109
nationella program,58724424,29
nationella program,95684185,68
nationella program,51138448,56
nationella program,19647256,44
nationella program,56421429,50
nationella program,39911065,62
nationella program,17008320,71
nationella program,56737496,75
nationella program,88850910,15
nationella program,93939982,80
nationella program,25720752,102
nationella program,55155562,186
nationella program,31533003,116
nationella program,31429031,43
