skolkod,antal_elever
93221031,36
17474377,18
74776778,56
18345915,87
68229719,74
61004230,60
71262305,86
55795961,19
84947634,48
23517336,12
48009865,115
97870412,42
68564903,56
82840198,69
18208087,73
89982804,32
19464342,27
60743463,14
32960825,73
43609520,22
41416934,72
97968599,51
21567982,15
91748148,87
49379603,..
80167319,..
42218661,40
73171934,..
83474173,46
91487291,..
21866405,39
74434644,178
42022406,81
88445871,103
65192707,138
18425335,84
93281974,45
23424275,60
43634528,131
36263479,152
56679384,78
30538202,28
19150273,30
69018222,76
25624692,19
88534520,32
12889940,108
16554575,44
34076477,149
54896448,20
25356960,74
64284020,71
98132436,77
53400472,20
60096875,26
97758137,60
26334561,197
40386043,310
29324709,11
26864271,17
59483268,47
33685428,33
32879845,13
88573795,15
20699742,135
21663998,109
20595770,105
82814120,152
45164827,178
10924758,56
34153869,81
88259298,22
73098153,12
44240250,37
17846181,38
75082798,241
23555409,144
91333138,26
30341162,35
39936461,27
72266906,127
27030026,97
12154972,78
16950252,123
34637764,124
19912478,144
73255276,28
15077883,97
48434184,109
58724424,29
95684185,68
51138448,56
19647256,44
56421429,50
39911065,62
17008320,71
56737496,75
88850910,15
93939982,80
25720752,102
55155562,186
31533003,116
31429031,43
16361868,..
23164911,132
24008049,128
19981611,19
54481243,11
36680097,17
87756916,38
59734510,34
19586169,68
24273261,35
95683850,127
59455288,38
82163292,54
25679488,88
25677996,52
89888648,83
90003262,10
88163512,33
35063170,59
31279294,43
36782335,363
23897040,..
20666515,54
37906565,25
67279303,46
21648755,235
11111710,39
90551279,252
93062368,16
69686851,113
49616977,66
54965510,286
90267145,43
72998905,26
84835666,55
25872338,..
54164490,25
69481650,38
20319353,68
92194545,63
88153340,40
94353434,57
59396229,66
95165649,51
64740897,..
78979604,..
69626109,43
10974852,..
85068812,33
78397312,191
36444853,111
15414001,55
38311488,32
16819383,57
89837629,103
12994441,65
53660780,105
88774402,177
75141151,82
61701709,147
61469192,63
84306392,177
28627819,103
30086854,111
26627862,83
48847282,90
72517762,26
79094701,150
38684438,144
31251822,105
90099336,..
96590873,85
35647481,74
39549479,84
73147554,90
65752105,..
69983740,81
66491596,66
12052268,109
71597051,184
53231578,95
11274830,72
51321260,58
96279444,72
40690520,193
61880907,83
91011325,15
97382366,78
35006050,110
88886610,27
10638939,73
21505555,118
34336190,80
21052710,120
88556189,49
35236491,61
69739484,71
92887917,76
88834120,75
70066748,78
19207279,166
53640774,120
58502307,30
97177328,49
72127035,76
70969714,53
85003442,37
22752398,53
68734112,40
71922787,53
31843016,34
74148070,43
50696507,27
92507006,101
44653962,66
20100577,94
81993306,94
19051089,71
29097621,62
47264019,63
87764775,18
50198492,143
48438396,41
98052678,69
20099064,80
44341171,29
32671805,47
38448056,15
16313848,498
79606767,66
11294673,52
86327236,61
41745951,67
83137205,43
28398531,73
66335258,51
54172830,88
86310217,28
83085136,52
75458014,26
65136104,17
61826221,40
79033948,65
56330385,61
20228162,99
68240485,114
95046058,38
44392995,98
53462953,126
69241230,23
60730660,174
85544331,29
80327946,161
82592568,135
78875918,148
78023197,46
86385479,57
40991561,..
49862313,105
99838438,71
42859669,245
70923626,63
92905347,46
99592025,235
34247736,126
47550455,162
30329172,48
76877530,17
47046103,50
56664512,..
38167912,30
43826783,..
58125096,124
82914148,11
20620556,29
77839100,..
17173461,28
55535552,..
19560192,52
30468157,122
98053087,74
92533079,49
61528940,116
23681822,90
66861851,126
72206824,53
92858957,282
46660042,128
86296935,..
44113417,129
67783774,..
38917647,10
21363125,..
39555838,23
85214294,42
82084961,219
46162400,90
98369689,62
56529916,60
40810950,27
67279263,123
40037982,45
51210136,120
73829818,130
54395430,11
18881773,14
50908408,11
18594470,95
78295411,78
80686587,88
72232853,81
12279302,94
17849518,13
64205087,138
50500028,56
94570025,24
91984508,68
78659008,36
12448823,..
40667807,62
18091973,86
88466776,45
36539945,..
40634612,57
62439199,20
66132676,87
57942242,39
80762863,58
77688926,102
14508922,97
69629086,114
88624631,23
35390185,..
37358234,27
31657916,12
21008461,58
54606928,102
53893730,109
46241804,20
42573391,24
64574972,65
19741742,76
29032715,90
45830583,21
48931433,111
97270136,29
19909435,73
30530571,207
78839208,68
96024712,160
30458073,..
40829056,12
85800840,145
68920727,49
27115998,161
41867682,26
79516949,72
65662401,57
39583059,184
38645259,32
96684210,237
87207941,71
11673760,212
46574937,302
23836342,66
63791419,95
39805497,72
38400227,100
81619482,61
83829189,41
46145886,58
12395564,27
90006712,17
43649848,20
75344502,20
84247499,74
27041885,38
39149668,71
97064126,..
32580162,23
38233622,24
48722826,120
73063662,63
40766349,29
71571158,32
53691739,45
43251309,24
97596286,84
67554405,163
86473502,14
73944169,101
98239050,59
94455820,..
58368956,42
73567152,35
61547652,48
60209222,58
62104139,63
87034307,119
78872213,99
84286698,26
62490359,13
64725297,29
43362941,23
23350817,12
76860623,64
58191646,94
80405898,62
56021320,43
41358402,25
63179610,23
64569393,44
87262566,41
64160122,48
48217580,142
41844601,60
51620045,78
86888278,19
23457902,14
27597104,23
57397381,210
56947954,157
72022487,225
71512894,62
70969556,20
28248021,77
44417214,130
25025681,68
88776535,84
49488344,41
74408578,80
71043974,270
57777751,..
38732602,12
89807183,99
86724994,83
61161774,137
86158933,75
14102256,80
75082280,14
75914181,62
39302565,60
96818167,17
36072799,26
61432781,71
78287294,27
74316305,35
39096170,17
79527481,134
67300857,88
99279503,70
63653488,..
84476205,45
24544503,114
25392789,115
72109637,..
69240218,86
14057258,10
38460895,18
31199511,119
12934438,198
43313366,124
86787111,70
97868185,29
81551726,18
77823650,57
37550979,20
52634142,93
76195214,65
54839753,..
32705515,55
60214465,37
70137084,88
82002016,67
21901328,19
23306658,119
57350392,..
97535124,34
11102578,102
69306209,79
92651253,21
31740319,37
10129345,88
17944628,130
82826083,32
94468610,37
94090461,89
12954099,78
80931789,127
84098842,29
90473340,31
26167236,56
69807202,74
64648904,51
75939593,327
63035915,274
26324896,46
56639389,452
95700485,42
51449748,121
28267726,50
28848709,20
12613085,50
53896162,714
17779637,87
11185244,35
56211717,20
66824652,47
49168016,58
32042066,52
50821167,10
71929526,31
92814975,40
60873719,80
28085125,16
28770304,37
21938183,69
78986228,10
71472793,31
64123241,15
69063711,43
77609073,52
35894996,79
12926770,38
17119840,33
68748767,94
23548714,63
48593439,60
91773491,70
30361243,364
25596917,128
65722876,287
20984584,19
52129378,73
65381163,187
98541468,18
31155312,50
25648215,48
61823258,24
84424083,216
39178171,29
49231191,47
78231062,239
79994304,..
10481541,122
68006362,122
11608031,51
86762103,28
68381790,83
13006857,198
76007769,39
16956086,200
58187973,40
88894245,21
31870541,75
71160225,25
67752682,48
47884009,31
44672598,152
75340089,32
36670439,26
22220001,59
31822012,95
83161201,81
15100079,..
55421481,..
99356671,17
16702464,23
71353314,..
29449669,108
62855448,54
36252055,292
91812793,350
14355031,45
72891848,42
46611859,180
58907711,118
68285560,150
58544422,97
65150019,72
31796890,..
22426680,13
83805032,29
48862305,81
32887559,46
71541108,40
53832505,41
47537928,29
69471748,115
49750031,50
76485705,57
93239262,76
25745773,69
99976753,93
14278480,36
75575321,128
28023078,65
43284031,83
13963517,12
24194577,..
26267406,24
31255918,68
51955293,95
57690933,95
35035671,17
12130801,41
51736304,32
53180719,74
27489137,27
15609112,20
44285075,35
60424371,34
95785055,167
68655578,125
17062663,55
68741484,134
56267421,18
