program,skolkod,gbp
Nationella program,93221031,"12,6"
Nationella program,17474377,"14,0"
Nationella program,74776778,"14,5"
Nationella program,18345915,"14,8"
Nationella program,68229719,"14,8"
Nationella program,61004230,"15,6"
Nationella program,71262305,"15,8"
Nationella program,55795961,"16,0"
Nationella program,84947634,"13,0"
Nationella program,23517336,"15,1"
Nationella program,48009865,"14,9"
Nationella program,97870412,"13,9"
Nationella program,68564903,"13,8"
Nationella program,82840198,"14,1"
Nationella program,18208087,"13,7"
Nationella program,89982804,"13,5"
Nationella program,19464342,"14,6"
Nationella program,60743463,"15,3"
Nationella program,32960825,"14,7"
Nationella program,43609520,"15,1"
Nationella program,41416934,"12,9"
Nationella program,97968599,"14,6"
Nationella program,21567982,"12,9"
Nationella program,91748148,"14,0"
Nationella program,49379603,..
Nationella program,80167319,..
Nationella program,42218661,"14,3"
Nationella program,73171934,..
Nationella program,83474173,"12,6"
Nationella program,91487291,..
Nationella program,21866405,"11,8"
Nationella program,74434644,"13,6"
Nationella program,42022406,"13,2"
Nationella program,88445871,"13,3"
Nationella program,65192707,"15,2"
Nationella program,18425335,"13,1"
Nationella program,93281974,"13,1"
Nationella program,23424275,"14,1"
Nationella program,43634528,"15,5"
Nationella program,36263479,"14,8"
Nationella program,56679384,"13,6"
Nationella program,30538202,"14,6"
Nationella program,19150273,"13,3"
Nationella program,69018222,"12,1"
Nationella program,25624692,"12,4"
Nationella program,88534520,"14,7"
Nationella program,12889940,"14,3"
Nationella program,16554575,"12,7"
Nationella program,34076477,"13,2"
Nationella program,54896448,"16,6"
Nationella program,25356960,"14,2"
Nationella program,64284020,"12,9"
Nationella program,98132436,"13,3"
Nationella program,53400472,"13,5"
Nationella program,60096875,"11,6"
Nationella program,97758137,"14,5"
Nationella program,26334561,"13,9"
Nationella program,40386043,"13,9"
Nationella program,29324709,"14,3"
Nationella program,26864271,"12,5"
Nationella program,59483268,"14,0"
Nationella program,33685428,"15,4"
Nationella program,32879845,"14,9"
Nationella program,88573795,"13,7"
