skolkod,gbp
93221031,"12,6"
17474377,"14,0"
74776778,"14,5"
18345915,"14,8"
68229719,"14,8"
61004230,"15,6"
71262305,"15,8"
55795961,"16,0"
84947634,"13,0"
23517336,"15,1"
48009865,"14,9"
97870412,"13,9"
68564903,"13,8"
82840198,"14,1"
18208087,"13,7"
89982804,"13,5"
19464342,"14,6"
60743463,"15,3"
32960825,"14,7"
43609520,"15,1"
41416934,"12,9"
97968599,"14,6"
21567982,"12,9"
91748148,"14,0"
49379603,..
80167319,..
42218661,"14,3"
73171934,..
83474173,"12,6"
91487291,..
21866405,"11,8"
74434644,"13,6"
42022406,"13,2"
88445871,"13,3"
65192707,"15,2"
18425335,"13,1"
93281974,"13,1"
23424275,"14,1"
43634528,"15,5"
36263479,"14,8"
56679384,"13,6"
30538202,"14,6"
19150273,"13,3"
69018222,"12,1"
25624692,"12,4"
88534520,"14,7"
12889940,"14,3"
16554575,"12,7"
34076477,"13,2"
54896448,"16,6"
25356960,"14,2"
64284020,"12,9"
98132436,"13,3"
53400472,"13,5"
60096875,"11,6"
97758137,"14,5"
26334561,"13,9"
40386043,"13,9"
29324709,"14,3"
26864271,"12,5"
59483268,"14,0"
33685428,"15,4"
32879845,"14,9"
88573795,"13,7"
20699742,"14,7"
21663998,"15,5"
20595770,"14,7"
82814120,"15,1"
45164827,"17,2"
10924758,"13,1"
34153869,"15,6"
88259298,"13,7"
73098153,"14,5"
44240250,"13,7"
17846181,"14,9"
75082798,"13,8"
23555409,"15,1"
91333138,"12,8"
30341162,"13,0"
39936461,"14,3"
72266906,"14,1"
27030026,"13,8"
12154972,"13,1"
16950252,"14,2"
34637764,"14,4"
19912478,"14,9"
73255276,"14,7"
15077883,"13,4"
48434184,"13,4"
58724424,"13,8"
95684185,"15,3"
51138448,"14,3"
19647256,"13,4"
56421429,"14,1"
39911065,"13,8"
17008320,"15,1"
56737496,"13,6"
88850910,"12,4"
93939982,"13,7"
25720752,"14,4"
55155562,"13,4"
31533003,"14,7"
31429031,"13,2"
16361868,..
23164911,"15,1"
24008049,"14,6"
19981611,"15,1"
54481243,"17,9"
36680097,"13,2"
87756916,"12,4"
59734510,"12,5"
19586169,"13,1"
24273261,"14,0"
95683850,"14,5"
59455288,"13,5"
82163292,"13,9"
25679488,"13,8"
25677996,"14,0"
89888648,"13,5"
90003262,"15,2"
88163512,"13,7"
35063170,"14,3"
31279294,"13,0"
36782335,"14,3"
23897040,..
20666515,"15,0"
37906565,"14,2"
67279303,"13,2"
21648755,"13,5"
11111710,"14,3"
90551279,"13,8"
93062368,"11,4"
69686851,"13,4"
49616977,"14,5"
54965510,"15,3"
90267145,"13,5"
72998905,"12,9"
84835666,"14,3"
25872338,..
54164490,"12,2"
69481650,"12,6"
20319353,"11,9"
92194545,"13,6"
88153340,"12,8"
94353434,"12,3"
59396229,"13,2"
95165649,"13,3"
64740897,..
78979604,..
69626109,"12,2"
10974852,..
85068812,"11,9"
78397312,"16,1"
36444853,"13,5"
15414001,"13,7"
38311488,"14,2"
16819383,"13,0"
89837629,"12,8"
12994441,"12,0"
53660780,"14,7"
88774402,"17,4"
75141151,"13,5"
61701709,"14,3"
61469192,"16,1"
84306392,"16,1"
28627819,"14,1"
30086854,"12,3"
26627862,"15,3"
48847282,"14,3"
72517762,"9,6"
79094701,"15,7"
38684438,"13,6"
31251822,"13,1"
90099336,..
96590873,"13,0"
35647481,"14,4"
39549479,"14,1"
73147554,"16,6"
65752105,..
69983740,"17,1"
66491596,"16,7"
12052268,"13,6"
71597051,"16,5"
53231578,"13,9"
11274830,"11,7"
51321260,"11,6"
96279444,"13,6"
40690520,"16,8"
61880907,"11,6"
91011325,"13,1"
97382366,"14,6"
35006050,"13,2"
88886610,"12,6"
10638939,"11,1"
21505555,"16,3"
34336190,"15,4"
21052710,"15,6"
88556189,"11,4"
35236491,"14,2"
69739484,"13,6"
92887917,"14,3"
88834120,"13,7"
70066748,"14,6"
19207279,"17,2"
53640774,"13,9"
58502307,"14,4"
97177328,"12,9"
72127035,"14,2"
70969714,"13,2"
85003442,"13,4"
22752398,"12,4"
68734112,"14,3"
71922787,"13,1"
31843016,"12,3"
74148070,"15,6"
50696507,"14,6"
92507006,"14,5"
44653962,"14,6"
20100577,"14,6"
81993306,"13,6"
19051089,"17,0"
29097621,"13,1"
47264019,"14,1"
87764775,"13,2"
50198492,"14,3"
48438396,"12,2"
98052678,"14,4"
20099064,"15,5"
44341171,"13,0"
32671805,"14,3"
38448056,"14,5"
16313848,"12,8"
79606767,"13,8"
11294673,"14,7"
86327236,"13,9"
41745951,"17,0"
83137205,"15,5"
28398531,"12,9"
66335258,"14,3"
54172830,"13,7"
86310217,"11,6"
83085136,"15,2"
75458014,"13,0"
65136104,"12,7"
61826221,.
79033948,"14,7"
56330385,"14,3"
20228162,"17,3"
68240485,"15,2"
95046058,"15,8"
44392995,"14,7"
53462953,"13,6"
69241230,"11,4"
60730660,"18,4"
85544331,"14,8"
80327946,"13,0"
82592568,"14,9"
78875918,"14,6"
78023197,"13,4"
86385479,"14,6"
40991561,..
49862313,"13,3"
99838438,"12,8"
42859669,"12,9"
70923626,"12,4"
92905347,"11,9"
99592025,"15,9"
34247736,"14,4"
47550455,"13,8"
30329172,"14,5"
76877530,"13,9"
47046103,"13,4"
56664512,..
38167912,"15,4"
43826783,..
58125096,"13,8"
82914148,"11,8"
20620556,"14,3"
77839100,..
