program,skolkod,gbp_examen
Nationella program,93221031,"12,8"
Nationella program,17474377,"14,1"
Nationella program,74776778,"14,7"
Nationella program,18345915,"15,0"
Nationella program,68229719,"14,8"
Nationella program,61004230,"16,2"
Nationella program,71262305,"16,0"
Nationella program,55795961,"16,0"
Nationella program,84947634,"13,5"
Nationella program,23517336,"15,1"
Nationella program,48009865,"15,5"
Nationella program,97870412,"13,9"
Nationella program,68564903,"13,9"
Nationella program,82840198,"14,3"
Nationella program,18208087,"13,9"
Nationella program,89982804,"13,5"
Nationella program,19464342,"14,6"
Nationella program,60743463,"15,3"
Nationella program,32960825,"15,0"
Nationella program,43609520,"15,6"
Nationella program,41416934,"12,9"
Nationella program,97968599,"14,9"
Nationella program,21567982,"12,8"
Nationella program,91748148,"14,6"
Nationella program,49379603,..
Nationella program,80167319,..
Nationella program,42218661,"15,0"
Nationella program,73171934,..
Nationella program,83474173,"13,0"
Nationella program,91487291,..
Nationella program,21866405,"12,0"
Nationella program,74434644,"14,2"
Nationella program,42022406,"13,6"
Nationella program,88445871,"13,7"
Nationella program,65192707,"15,4"
Nationella program,18425335,"13,8"
Nationella program,93281974,"13,8"
Nationella program,23424275,"14,3"
Nationella program,43634528,"15,7"
Nationella program,36263479,"15,1"
Nationella program,56679384,"13,7"
Nationella program,30538202,"15,1"
Nationella program,19150273,"13,6"
Nationella program,69018222,"13,2"
Nationella program,25624692,"12,4"
Nationella program,88534520,"15,0"
Nationella program,12889940,"14,7"
Nationella program,16554575,"12,8"
Nationella program,34076477,"13,7"
Nationella program,54896448,"16,6"
Nationella program,25356960,"14,3"
Nationella program,64284020,"13,2"
Nationella program,98132436,"13,8"
Nationella program,53400472,"15,3"
Nationella program,60096875,"12,6"
Nationella program,97758137,"15,8"
Nationella program,26334561,"14,4"
Nationella program,40386043,"14,5"
Nationella program,29324709,"14,3"
Nationella program,26864271,"14,0"
Nationella program,59483268,"15,0"
Nationella program,33685428,"15,6"
Nationella program,32879845,"14,9"
Nationella program,88573795,"14,0"
Nationella program,20699742,"14,8"
Nationella program,21663998,"16,1"
Nationella program,20595770,"15,1"
Nationella program,82814120,"15,1"
Nationella program,45164827,"17,5"
Nationella program,10924758,"13,3"
Nationella program,34153869,"15,7"
Nationella program,88259298,"14,6"
Nationella program,73098153,"15,2"
Nationella program,44240250,"14,6"
Nationella program,17846181,"15,3"
Nationella program,75082798,"14,6"
Nationella program,23555409,"15,3"
Nationella program,91333138,"13,7"
Nationella program,30341162,"13,6"
Nationella program,39936461,"14,3"
Nationella program,72266906,"15,2"
Nationella program,27030026,"14,1"
Nationella program,12154972,"13,4"
Nationella program,16950252,"14,5"
Nationella program,34637764,"15,2"
Nationella program,19912478,"15,4"
Nationella program,73255276,"14,7"
Nationella program,15077883,"14,0"
Nationella program,48434184,"14,0"
Nationella program,58724424,"14,7"
Nationella program,95684185,"15,4"
Nationella program,51138448,"14,7"
Nationella program,19647256,"13,8"
Nationella program,56421429,"14,4"
Nationella program,39911065,"14,3"
Nationella program,17008320,"15,3"
Nationella program,56737496,"13,9"
Nationella program,88850910,"13,1"
Nationella program,93939982,"14,0"
Nationella program,25720752,"14,7"
Nationella program,55155562,"14,2"
Nationella program,31533003,"14,8"
Nationella program,31429031,"13,4"
Nationella program,16361868,..
Nationella program,23164911,"15,3"
Nationella program,24008049,"14,7"
Nationella program,19981611,"15,3"
Nationella program,54481243,"17,9"
Nationella program,36680097,"13,8"
Nationella program,87756916,"13,3"
Nationella program,59734510,"13,1"
Nationella program,19586169,"13,6"
Nationella program,24273261,"14,1"
Nationella program,95683850,"14,5"
Nationella program,59455288,"14,9"
Nationella program,82163292,"14,3"
Nationella program,25679488,"14,5"
Nationella program,25677996,"14,8"
Nationella program,89888648,"14,0"
Nationella program,90003262,..
Nationella program,88163512,"14,7"
Nationella program,35063170,"14,5"
Nationella program,31279294,"13,8"
Nationella program,36782335,"14,6"
Nationella program,23897040,..
Nationella program,20666515,"15,1"
Nationella program,37906565,"14,2"
Nationella program,67279303,"13,5"
Nationella program,21648755,"14,3"
Nationella program,11111710,"14,9"
Nationella program,90551279,"14,3"
Nationella program,93062368,"12,4"
Nationella program,69686851,"14,0"
Nationella program,49616977,"15,3"
Nationella program,54965510,"15,7"
Nationella program,90267145,"13,6"
Nationella program,72998905,"12,9"
Nationella program,84835666,"15,2"
Nationella program,25872338,..
Nationella program,54164490,"13,2"
Nationella program,69481650,"13,5"
Nationella program,20319353,"13,5"
Nationella program,92194545,"13,7"
Nationella program,88153340,"13,2"
Nationella program,94353434,"13,1"
Nationella program,59396229,"13,7"
Nationella program,95165649,"13,7"
Nationella program,64740897,..
Nationella program,78979604,..
Nationella program,69626109,"13,4"
Nationella program,10974852,..
Nationella program,85068812,"13,7"
Nationella program,78397312,"16,3"
Nationella program,36444853,"14,3"
Nationella program,15414001,"14,5"
Nationella program,38311488,"14,2"
Nationella program,16819383,"14,0"
Nationella program,89837629,"13,5"
Nationella program,12994441,"13,5"
Nationella program,53660780,"14,7"
Nationella program,88774402,"17,5"
Nationella program,75141151,"15,0"
Nationella program,61701709,"14,4"
Nationella program,61469192,"16,6"
Nationella program,84306392,"16,1"
Nationella program,28627819,"14,6"
Nationella program,30086854,"12,6"
Nationella program,26627862,"15,5"
Nationella program,48847282,"15,1"
Nationella program,72517762,..
Nationella program,79094701,"15,7"
Nationella program,38684438,"14,2"
Nationella program,31251822,"14,1"
Nationella program,90099336,..
Nationella program,96590873,"14,1"
Nationella program,35647481,"15,4"
Nationella program,39549479,"15,1"
Nationella program,73147554,"16,6"
Nationella program,65752105,..
Nationella program,69983740,"17,1"
Nationella program,66491596,"16,7"
Nationella program,12052268,"14,8"
Nationella program,71597051,"16,5"
Nationella program,53231578,"14,0"
Nationella program,11274830,"12,3"
Nationella program,51321260,"11,8"
Nationella program,96279444,"14,3"
