skolkod,gbp_examen
93221031,"12,8"
17474377,"14,1"
74776778,"14,7"
18345915,"15,0"
68229719,"14,8"
61004230,"16,2"
71262305,"16,0"
55795961,"16,0"
84947634,"13,5"
23517336,"15,1"
48009865,"15,5"
97870412,"13,9"
68564903,"13,9"
82840198,"14,3"
18208087,"13,9"
89982804,"13,5"
19464342,"14,6"
60743463,"15,3"
32960825,"15,0"
43609520,"15,6"
41416934,"12,9"
97968599,"14,9"
21567982,"12,8"
91748148,"14,6"
49379603,..
80167319,..
42218661,"15,0"
73171934,..
83474173,"13,0"
91487291,..
21866405,"12,0"
74434644,"14,2"
42022406,"13,6"
88445871,"13,7"
65192707,"15,4"
18425335,"13,8"
93281974,"13,8"
23424275,"14,3"
43634528,"15,7"
36263479,"15,1"
56679384,"13,7"
30538202,"15,1"
19150273,"13,6"
69018222,"13,2"
25624692,"12,4"
88534520,"15,0"
12889940,"14,7"
16554575,"12,8"
34076477,"13,7"
54896448,"16,6"
25356960,"14,3"
64284020,"13,2"
98132436,"13,8"
53400472,"15,3"
60096875,"12,6"
97758137,"15,8"
26334561,"14,4"
40386043,"14,5"
29324709,"14,3"
26864271,"14,0"
59483268,"15,0"
33685428,"15,6"
32879845,"14,9"
88573795,"14,0"
20699742,"14,8"
21663998,"16,1"
20595770,"15,1"
82814120,"15,1"
45164827,"17,5"
10924758,"13,3"
34153869,"15,7"
88259298,"14,6"
73098153,"15,2"
44240250,"14,6"
17846181,"15,3"
75082798,"14,6"
23555409,"15,3"
91333138,"13,7"
30341162,"13,6"
39936461,"14,3"
72266906,"15,2"
27030026,"14,1"
12154972,"13,4"
16950252,"14,5"
34637764,"15,2"
19912478,"15,4"
73255276,"14,7"
15077883,"14,0"
48434184,"14,0"
58724424,"14,7"
95684185,"15,4"
51138448,"14,7"
19647256,"13,8"
56421429,"14,4"
39911065,"14,3"
17008320,"15,3"
56737496,"13,9"
88850910,"13,1"
93939982,"14,0"
25720752,"14,7"
55155562,"14,2"
31533003,"14,8"
31429031,"13,4"
16361868,..
23164911,"15,3"
24008049,"14,7"
19981611,"15,3"
54481243,"17,9"
36680097,"13,8"
87756916,"13,3"
59734510,"13,1"
19586169,"13,6"
24273261,"14,1"
95683850,"14,5"
59455288,"14,9"
82163292,"14,3"
25679488,"14,5"
25677996,"14,8"
89888648,"14,0"
90003262,..
88163512,"14,7"
35063170,"14,5"
31279294,"13,8"
36782335,"14,6"
23897040,..
20666515,"15,1"
37906565,"14,2"
67279303,"13,5"
21648755,"14,3"
11111710,"14,9"
90551279,"14,3"
93062368,"12,4"
69686851,"14,0"
49616977,"15,3"
54965510,"15,7"
90267145,"13,6"
72998905,"12,9"
84835666,"15,2"
25872338,..
54164490,"13,2"
69481650,"13,5"
20319353,"13,5"
92194545,"13,7"
88153340,"13,2"
94353434,"13,1"
59396229,"13,7"
95165649,"13,7"
64740897,..
78979604,..
69626109,"13,4"
10974852,..
85068812,"13,7"
78397312,"16,3"
36444853,"14,3"
15414001,"14,5"
38311488,"14,2"
16819383,"14,0"
89837629,"13,5"
12994441,"13,5"
53660780,"14,7"
88774402,"17,5"
75141151,"15,0"
61701709,"14,4"
61469192,"16,6"
84306392,"16,1"
28627819,"14,6"
30086854,"12,6"
26627862,"15,5"
48847282,"15,1"
72517762,..
79094701,"15,7"
38684438,"14,2"
31251822,"14,1"
90099336,..
96590873,"14,1"
35647481,"15,4"
39549479,"15,1"
