program,provnamn,skol_kod,gnm_betp
fordons- och transportprogrammet,engelska 5,17474377,"11,9"
hantverksprogrammet,engelska 5,17474377,"12,9"
bygg- och anläggningsprogrammet,engelska 5,18345915,"12,7"
el- och energiprogrammet,engelska 5,18345915,"14,1"
vård- och omsorgsprogrammet,engelska 5,68229719,"12,7"
handels- och administrationsprogrammet,engelska 5,61004230,..
vård- och omsorgsprogrammet,engelska 5,67768292,..
fordons- och transportprogrammet,engelska 5,55795961,"12,8"
barn- och fritidsprogrammet,engelska 5,84947634,"12,5"
fordons- och transportprogrammet,engelska 5,84947634,"9,5"
vård- och omsorgsprogrammet,engelska 5,84947634,"12,9"
el- och energiprogrammet,engelska 5,82840198,"13,8"
vård- och omsorgsprogrammet,engelska 5,82840198,"8,9"
bygg- och anläggningsprogrammet,engelska 5,18208087,"13,3"
fordons- och transportprogrammet,engelska 5,18208087,"9,4"
industritekniska programmet,engelska 5,18208087,"12,8"
barn- och fritidsprogrammet,engelska 5,89982804,"11,8"
handels- och administrationsprogrammet,engelska 5,89982804,"12,5"
industritekniska programmet,engelska 5,19464342,..
restaurang- och livsmedelsprogrammet,engelska 5,19464342,..
vård- och omsorgsprogrammet,engelska 5,19464342,..
barn- och fritidsprogrammet,engelska 5,60743463,"10,0"
vård- och omsorgsprogrammet,engelska 5,32960825,"11,3"
restaurang- och livsmedelsprogrammet,engelska 5,43609520,"13,3"
bygg- och anläggningsprogrammet,engelska 5,41416934,"13,5"
el- och energiprogrammet,engelska 5,41416934,"13,0"
fordons- och transportprogrammet,engelska 5,41416934,"11,2"
bygg- och anläggningsprogrammet,engelska 5,21567982,"9,1"
naturbruksprogrammet,engelska 5,21567982,..
naturbruksprogrammet,engelska 5,49379603,"13,4"
naturbruksprogrammet,engelska 5,80167319,..
vård- och omsorgsprogrammet,engelska 5,42218661,..
barn- och fritidsprogrammet,engelska 5,73171934,"10,9"
barn- och fritidsprogrammet,engelska 5,83474173,..
bygg- och anläggningsprogrammet,engelska 5,83474173,"11,6"
fordons- och transportprogrammet,engelska 5,83474173,"13,3"
industritekniska programmet,engelska 5,83474173,"11,7"
restaurang- och livsmedelsprogrammet,engelska 5,83474173,"13,6"
vård- och omsorgsprogrammet,engelska 5,83474173,"12,0"
el- och energiprogrammet,engelska 5,21866405,"10,4"
fordons- och transportprogrammet,engelska 5,21866405,"8,5"
barn- och fritidsprogrammet,engelska 5,74434644,"7,9"
handels- och administrationsprogrammet,engelska 5,74434644,"9,7"
vård- och omsorgsprogrammet,engelska 5,74434644,"8,6"
el- och energiprogrammet,engelska 5,42022406,"13,4"
bygg- och anläggningsprogrammet,engelska 5,88445871,"11,1"
industritekniska programmet,engelska 5,88445871,"12,9"
